@RELATION SimpleHROppModel
@ATTRIBUTE preflop_actions {c,r,cr,rr}
@ATTRIBUTE preflop_amount NUMERIC
@ATTRIBUTE flop_actions {c,r,cr,rr}
@ATTRIBUTE flop_amount NUMERIC
@ATTRIBUTE turn_actions {c,r,cr,rr}
@ATTRIBUTE turn_amount NUMERIC
@ATTRIBUTE river_actions {c,r,cr,rr}
@ATTRIBUTE river_amount NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_rank NUMERIC
@DATA
c,0.5,c,0.0,c,0.0,c,0.0,6,2,Q,5,T,2,2,0,350
c,0.5,r,0.0,r,4.0,r,4.0,K,3,2,4,8,2,2,0,3879
rr,2.0,c,0.0,rr,4.0,rr,4.0,6,J,2,A,T,2,22,3,5831
rr,2.0,r,2.0,c,0.0,c,0.0,K,9,7,8,7,1,2,0,2593
c,1.0,c,0.0,rr,2.0,c,0.0,7,3,A,8,9,2,2,0,3972
c,0.5,r,0.0,r,0.0,r,0.0,2,3,2,A,T,1,1,0,4871
c,0.5,c,0.0,r,2.0,r,0.0,3,J,Q,3,2,2,2,0,1716
c,0.5,r,2.0,c,0.0,c,0.0,2,5,6,6,2,2,2,0,4213
c,0.5,c,0.0,c,0.0,c,0.0,J,3,9,A,9,1,2,0,3036
c,1.0,r,1.0,c,0.0,c,0.0,J,Q,2,9,4,1,1,0,1276
r,0.5,r,1.0,r,0.0,c,0.0,Q,K,3,4,K,1,1,0,5774
c,1.0,c,0.0,c,0.0,r,2.0,A,A,9,5,4,1,2,0,4880
c,1.0,c,0.0,c,0.0,c,0.0,9,J,Q,3,T,1,2,0,454
c,1.0,c,0.0,r,0.0,c,0.0,8,Q,8,5,8,2,2,0,7221
c,0.5,r,0.0,rr,4.0,rr,6.0,5,3,T,J,J,2,3,3,7184
c,0.5,r,0.0,r,0.0,c,0.0,T,3,J,A,Q,1,2,0,3246
c,1.0,c,0.0,c,0.0,r,2.0,J,3,J,9,K,1,2,0,4553
c,0.5,c,0.0,c,0.0,c,0.0,5,5,7,9,3,2,22,3,4191
c,0.5,c,0.0,c,0.0,c,0.0,2,9,7,K,T,1,1,0,1195
c,1.0,c,0.0,c,0.0,c,0.0,4,2,3,4,K,2,22,3,4157
c,1.0,r,2.0,r,0.0,c,0.0,Q,2,J,7,2,1,2,0,4178
c,1.0,rr,1.0,r,0.0,r,0.0,T,4,T,A,5,2,2,0,7247
c,1.0,c,0.0,rr,6.0,r,0.0,3,9,5,3,T,2,22,3,7158
c,0.5,r,0.0,rr,4.0,r,0.0,8,3,K,K,A,1,1,0,4829
c,1.0,r,0.0,r,0.0,c,0.0,K,T,5,5,6,1,2,0,2092
c,1.0,r,1.0,cr,4.0,c,0.0,6,Q,Q,7,2,1,2,3,4680
r,1.0,rr,1.0,r,0.0,r,0.0,Q,9,T,2,A,1,2,3,4960
c,1.0,cr,2.0,cr,4.0,c,0.0,A,7,3,7,5,1,1,0,4301
c,0.5,c,0.0,c,0.0,c,0.0,9,3,5,7,J,1,1,0,1223
c,1.0,r,1.0,cr,4.0,c,0.0,7,4,8,A,Q,1,1,0,2803
c,1.0,c,0.0,r,2.0,rr,2.0,7,9,2,T,T,2,3,3,4451
c,1.0,c,0.0,c,0.0,c,0.0,8,K,5,T,T,3,3,3,3191
c,1.0,c,0.0,r,2.0,c,0.0,7,K,J,T,J,1,1,0,4630
c,0.5,c,0.0,c,0.0,c,0.0,3,5,8,4,2,2,2,3,550
c,1.0,c,0.0,rr,2.0,r,0.0,4,A,9,2,Q,2,2,0,5853
c,1.0,r,1.0,c,0.0,c,0.0,4,K,7,8,7,2,22,0,4278
c,1.0,c,0.0,c,0.0,c,0.0,K,K,K,5,2,1,1,0,7275
rr,2.0,r,0.0,c,0.0,r,0.0,8,8,T,3,9,1,1,0,4936
c,0.5,c,0.0,c,0.0,c,0.0,3,6,7,2,5,2,3,3,928
c,1.0,rr,1.0,r,0.0,c,0.0,J,2,6,Q,4,2,2,0,3417
c,1.0,r,0.0,rr,2.0,cr,0.0,4,6,5,Q,K,1,1,0,4234
c,0.5,r,1.0,r,0.0,r,0.0,9,5,4,A,8,1,2,3,4064
c,0.5,c,0.0,c,0.0,r,2.0,7,6,3,9,J,1,2,0,3339
c,0.5,c,0.0,c,0.0,c,0.0,8,A,5,5,A,1,2,3,4923
r,1.0,c,0.0,rr,2.0,c,0.0,4,2,K,T,5,2,2,0,3250
c,1.0,rr,3.0,rr,2.0,rr,6.0,9,K,6,7,K,1,1,0,4827
c,0.5,c,0.0,c,0.0,rr,4.0,3,J,8,T,J,2,2,0,4629
c,1.0,r,1.0,c,0.0,r,2.0,2,T,J,6,8,2,3,4,5976
rr,3.0,rr,3.0,r,0.0,rr,2.0,8,9,7,6,7,1,2,0,5859
c,1.0,r,0.0,rr,2.0,r,0.0,J,A,7,5,T,2,22,0,4926
c,1.0,c,0.0,c,0.0,c,0.0,8,9,T,K,7,2,2,0,580
c,1.0,c,0.0,rr,6.0,rr,6.0,8,6,7,4,3,1,1,0,4218
c,1.0,cr,2.0,rr,6.0,c,0.0,J,5,4,J,3,1,1,0,4565
c,1.0,c,0.0,c,0.0,c,0.0,5,9,7,6,Q,1,1,0,421
c,1.0,c,0.0,c,0.0,r,4.0,K,J,5,J,T,1,2,3,4631
c,1.0,rr,3.0,c,0.0,cr,4.0,7,J,5,Q,6,1,1,0,2053
c,0.5,rr,2.0,rr,2.0,r,0.0,6,3,A,3,6,2,22,0,4911
c,0.5,c,0.0,rr,2.0,r,0.0,A,8,5,K,A,2,3,3,6336
c,1.0,r,0.0,c,0.0,c,0.0,4,K,2,2,7,2,2,0,4751
r,1.0,r,0.0,r,2.0,rr,6.0,6,Q,T,J,7,2,3,4,6842
c,0.5,c,0.0,r,0.0,r,0.0,9,T,Q,A,T,2,3,3,7122
c,1.0,c,0.0,c,0.0,c,0.0,J,9,6,3,9,1,1,0,2933
c,1.0,r,0.0,r,0.0,cr,0.0,6,A,3,J,9,2,3,3,1696
c,0.5,r,0.0,r,0.0,r,0.0,4,K,5,5,7,2,2,0,4779
c,1.0,c,0.0,c,0.0,c,0.0,5,K,K,7,T,2,22,0,3767
c,1.0,r,0.0,c,0.0,r,0.0,5,A,T,Q,Q,2,2,3,3695
c,1.0,rr,1.0,c,0.0,c,0.0,2,T,J,4,3,2,22,0,3187
c,0.5,r,2.0,rr,2.0,c,0.0,J,5,5,J,7,2,2,3,4615
c,0.5,c,0.0,r,0.0,c,0.0,3,T,3,J,Q,2,2,0,1706
c,1.0,r,1.0,r,2.0,r,0.0,A,T,A,2,7,1,1,0,4956
r,0.5,r,0.0,rr,4.0,r,4.0,T,K,9,Q,2,1,2,0,4135
c,1.0,r,1.0,r,2.0,r,0.0,3,2,T,6,T,1,2,0,4450
c,0.5,c,0.0,c,0.0,c,0.0,Q,3,6,9,7,2,3,4,454
r,0.5,r,0.0,rr,2.0,r,0.0,8,T,A,K,3,2,2,0,4116
c,1.0,rr,3.0,cr,4.0,cr,4.0,A,9,4,A,6,3,3,3,6703
c,0.5,c,0.0,c,0.0,c,0.0,K,5,J,8,2,2,3,4,2815
c,0.5,r,0.0,r,0.0,c,0.0,3,8,5,K,9,2,2,0,2759
c,0.5,c,0.0,c,0.0,c,0.0,8,J,4,T,T,1,2,0,3113
c,1.0,r,1.0,c,0.0,r,0.0,T,2,K,K,A,2,22,0,4992
c,0.5,r,2.0,rr,6.0,r,0.0,6,A,Q,4,K,1,2,0,4895
c,0.5,c,0.0,rr,4.0,r,0.0,7,9,2,A,3,1,2,0,3002
r,0.5,rr,2.0,rr,4.0,r,2.0,5,J,7,J,9,2,3,4,5651
c,1.0,rr,3.0,r,0.0,cr,0.0,3,4,T,A,7,1,2,0,4034
r,0.5,r,0.0,rr,4.0,rr,6.0,J,J,K,Q,8,2,2,0,7258
c,1.0,rr,3.0,rr,2.0,rr,6.0,J,2,K,A,J,2,2,3,4851
c,0.5,c,0.0,c,0.0,c,0.0,7,5,9,5,9,2,2,0,4405
c,1.0,r,1.0,rr,2.0,rr,2.0,4,3,K,4,2,1,2,0,5181
rr,3.0,c,0.0,c,0.0,cr,4.0,8,T,3,8,2,2,2,0,4312
c,0.5,c,0.0,r,4.0,r,4.0,8,5,5,5,J,1,1,0,5247
c,0.5,c,0.0,r,0.0,c,0.0,2,8,4,T,8,1,2,0,4518
c,1.0,c,0.0,c,0.0,c,0.0,8,2,7,9,3,2,2,3,1552
c,1.0,r,1.0,c,0.0,r,2.0,7,8,T,Q,4,2,3,3,2487
c,1.0,rr,3.0,cr,4.0,r,2.0,6,7,K,Q,9,2,3,3,2541
c,0.5,c,0.0,r,0.0,r,0.0,6,6,3,9,J,1,2,3,4243
c,0.5,r,2.0,c,0.0,rr,6.0,2,5,T,8,6,2,3,3,5973
c,1.0,c,0.0,c,0.0,c,0.0,9,3,J,A,4,1,2,3,1916
c,0.5,c,0.0,c,0.0,c,0.0,7,K,8,6,5,1,1,0,5856
c,1.0,c,0.0,c,0.0,c,0.0,9,7,8,K,A,2,22,3,1224
c,0.5,c,0.0,r,0.0,c,0.0,9,T,4,T,J,2,2,0,3237
c,1.0,c,0.0,r,2.0,c,0.0,4,8,6,2,Q,1,2,3,2267
c,0.5,c,0.0,r,0.0,r,2.0,K,K,T,3,Q,2,2,0,4806
c,1.0,r,0.0,c,0.0,c,0.0,5,6,8,2,T,2,2,0,116
c,0.5,c,0.0,r,2.0,c,0.0,3,7,5,2,8,2,22,3,1296
c,0.5,r,0.0,c,0.0,c,0.0,3,8,T,A,3,1,2,0,4466
c,0.5,c,0.0,r,4.0,c,0.0,K,3,T,7,Q,1,2,3,1660
c,1.0,r,0.0,r,4.0,c,0.0,Q,7,Q,K,9,1,2,0,4861
c,0.5,r,2.0,rr,4.0,c,0.0,3,8,4,5,7,2,3,3,2730
c,0.5,c,0.0,c,0.0,c,0.0,Q,2,6,3,Q,2,2,0,3541
c,0.5,rr,2.0,c,0.0,rr,4.0,K,J,3,2,5,2,2,0,3799
c,1.0,c,0.0,c,0.0,r,0.0,2,3,4,8,J,2,3,3,1695
c,1.0,rr,3.0,rr,2.0,r,2.0,7,T,7,6,Q,2,3,4,4510
c,0.5,r,2.0,rr,4.0,c,0.0,7,J,T,7,8,3,3,3,4598
c,0.5,rr,2.0,c,0.0,c,0.0,K,A,J,T,T,1,2,0,4993
r,1.0,rr,3.0,r,0.0,r,0.0,K,2,J,A,K,2,22,0,7258
c,0.5,r,0.0,rr,4.0,c,0.0,2,7,A,J,8,2,22,3,4124
c,1.0,r,0.0,rr,2.0,r,0.0,J,J,3,K,Q,1,2,0,7257
c,1.0,rr,3.0,rr,2.0,r,2.0,6,Q,9,A,J,2,22,0,3685
c,1.0,c,0.0,c,0.0,c,0.0,J,3,Q,6,3,1,1,0,1614
rr,2.0,c,0.0,c,0.0,r,0.0,J,Q,6,9,2,1,2,0,5039
c,1.0,r,0.0,cr,0.0,rr,2.0,K,6,6,K,J,2,2,0,7198
c,1.0,r,1.0,cr,4.0,c,0.0,3,7,5,K,8,1,1,0,1631
c,0.5,rr,2.0,r,0.0,r,0.0,Q,5,2,K,2,2,2,0,4642
c,0.5,c,0.0,c,0.0,rr,4.0,8,T,J,T,J,2,22,0,4631
c,0.5,rr,2.0,rr,4.0,rr,4.0,8,K,8,5,T,1,2,0,5443
r,0.5,r,0.0,r,0.0,c,0.0,3,Q,K,6,5,1,2,0,4131
c,1.0,c,0.0,c,0.0,c,0.0,6,2,Q,5,T,2,2,0,335
c,1.0,r,1.0,rr,2.0,rr,2.0,K,3,2,4,8,2,2,0,5853
