@RELATION SimpleBotHROM
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_rank NUMERIC
@DATA
rr,c,r,r,K,5,6,5,Q,1,2,3,2156
rr,c,c,r,9,6,2,Q,4,2,2,0,1258
c,r,c,c,8,J,9,8,A,2,2,0,4444
c,c,c,r,T,T,J,K,9,1,2,0,4531
c,c,c,c,5,6,6,K,A,2,3,3,2376
c,c,rr,rr,8,7,7,3,A,2,3,3,5908
c,r,rr,r,5,Q,9,J,9,2,2,0,5861
c,c,c,c,4,J,2,2,9,1,1,0,1432
c,c,c,c,2,6,8,5,8,1,2,0,2776
c,rr,c,c,A,8,J,A,6,2,22,0,4926
c,r,r,c,7,K,A,3,J,1,2,0,2815
c,r,c,c,T,8,6,J,K,2,2,0,2092
c,c,c,c,K,T,4,J,6,1,2,3,656
c,rr,c,c,6,8,3,3,A,1,1,0,1714
c,r,r,c,A,Q,A,8,K,2,22,0,5852
c,c,r,c,2,A,J,7,8,1,2,0,1915
c,c,r,r,4,2,7,J,Q,3,3,3,2053
c,c,c,c,K,7,3,T,4,1,2,0,1266
c,c,r,c,6,7,9,7,J,2,2,3,2576
c,c,c,c,J,4,4,A,6,1,2,3,1917
c,c,c,c,6,5,2,4,5,1,2,3,2120
c,c,c,c,Q,4,4,8,2,1,1,0,1836
r,r,c,c,3,6,Q,J,3,2,22,3,4464
c,c,c,c,3,A,5,6,3,2,2,0,1705
c,r,r,r,9,Q,2,A,K,1,2,0,3036
c,c,c,c,K,9,3,9,3,2,22,3,4388
c,c,c,c,A,7,6,9,A,2,3,3,4080
c,rr,c,c,Q,A,9,7,4,2,3,4,6952
c,c,c,c,9,9,A,4,3,2,22,3,3013
c,rr,c,c,7,T,2,8,J,1,2,0,2459
c,c,c,c,7,6,8,2,T,1,2,0,225
c,r,r,c,T,7,9,K,9,2,2,0,3034
c,c,rr,c,8,4,6,A,K,2,2,0,2373
rr,c,c,c,3,K,J,7,A,1,1,0,4126
c,c,rr,r,3,K,Q,6,T,2,3,4,7130
rr,r,r,c,A,6,6,5,6,2,3,3,6921
rr,r,rr,c,8,K,T,3,4,3,3,3,3411
rr,c,r,c,K,Q,6,T,7,2,22,0,3421
c,r,rr,c,K,3,7,2,9,3,3,3,2737
c,r,r,c,3,8,2,T,Q,2,3,3,2760
rr,r,rr,r,4,3,K,J,T,2,2,0,4126
c,c,c,c,J,7,4,3,8,2,2,0,448
c,rr,c,c,7,J,2,5,4,2,2,0,978
c,c,c,c,9,J,6,5,6,2,2,0,4232
