@RELATION SimpleBotHROM

@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
c,c,r,rr,5,7,J,2,6,2,2,0,one_pair
c,r,r,c,4,9,A,K,A,1,2,3,one_pair
c,c,c,c,3,J,Q,T,Q,2,2,0,one_pair
c,r,r,r,A,T,7,9,T,3,4,4,two_pairs
c,c,r,r,5,K,6,4,5,2,2,0,two_pairs
c,r,r,c,J,3,7,J,K,1,1,0,two_pairs
r,r,r,r,3,Q,9,8,J,2,2,3,one_pair
c,c,r,c,A,J,J,Q,9,2,2,0,one_pair
c,r,r,r,3,3,6,2,2,2,3,3,two_pairs
c,c,c,c,8,9,5,J,T,2,3,3,straight
c,c,c,rr,J,5,Q,K,T,1,2,3,straight
c,c,r,c,4,8,T,T,Q,2,22,3,two_pairs
c,c,c,c,5,K,3,T,8,2,2,0,one_pair
r,r,r,c,8,J,9,4,3,1,2,0,high_card
c,c,r,r,9,J,6,3,4,1,1,0,one_pair
c,c,r,r,3,4,8,8,J,1,2,3,two_pairs
r,r,r,c,A,7,8,3,3,2,2,0,two_pairs
c,c,c,c,3,K,2,J,K,2,3,4,one_pair
c,c,c,c,A,5,4,7,Q,2,2,3,one_pair
c,c,c,c,K,A,3,7,J,2,3,4,high_card
c,c,r,c,5,2,5,4,K,2,2,0,two_pairs
c,r,r,c,7,Q,T,K,8,2,2,0,one_pair
c,r,rr,r,7,9,K,T,6,2,22,3,three_of_a_kind
c,c,c,c,5,Q,6,K,A,1,2,3,high_card
r,c,c,c,8,6,3,4,T,1,2,0,high_card
c,c,c,c,8,2,8,Q,3,2,22,3,one_pair
c,c,r,r,Q,9,T,4,8,2,22,0,one_pair
c,r,rr,r,J,7,T,7,4,2,2,0,two_pairs
c,c,c,rr,7,8,K,J,2,1,2,0,one_pair
c,c,c,c,Q,7,Q,Q,J,2,2,0,three_of_a_kind
c,rr,c,c,5,Q,7,T,3,2,22,3,one_pair
c,c,c,r,7,K,8,3,8,2,2,0,two_pairs
c,c,c,c,5,2,J,6,6,2,2,3,one_pair
c,r,r,rr,J,Q,7,Q,T,2,22,0,two_pairs
c,c,c,r,3,Q,8,9,2,1,2,0,one_pair
c,c,c,c,T,2,2,7,6,2,2,0,one_pair
c,c,c,c,A,T,J,K,8,2,2,0,one_pair
c,r,c,c,6,Q,K,Q,2,2,2,0,one_pair
c,c,c,c,A,2,9,T,3,2,3,3,high_card
c,c,r,c,Q,3,9,9,A,2,22,0,one_pair
c,r,c,c,3,9,7,T,8,2,3,4,one_pair
rr,r,r,r,6,4,Q,8,8,1,2,0,two_pairs
c,rr,r,c,4,3,A,J,9,1,2,0,one_pair
c,c,c,c,6,Q,3,4,4,1,2,0,three_of_a_kind
c,r,r,c,2,9,J,5,3,2,2,0,one_pair
c,rr,r,rr,5,9,A,J,7,1,2,0,one_pair
c,r,c,c,3,5,3,K,K,2,2,3,two_pairs
c,r,c,c,2,4,5,A,6,2,2,0,one_pair
c,c,c,c,3,Q,2,J,J,2,22,0,one_pair
c,r,c,c,4,7,2,3,Q,2,2,0,one_pair
c,c,c,c,A,A,K,T,4,1,2,0,one_pair
c,c,c,c,A,8,3,T,Q,1,2,3,one_pair
c,r,c,r,J,9,9,A,Q,1,2,0,one_pair
c,r,c,c,K,7,5,9,6,1,1,0,one_pair
c,c,rr,rr,2,A,8,9,9,2,3,3,two_pairs
c,r,r,rr,7,7,3,2,Q,2,3,4,flush
c,r,c,rr,9,J,Q,9,T,1,2,0,straight
c,rr,rr,rr,3,3,K,J,2,2,3,3,full_house
rr,rr,r,rr,8,5,J,9,2,2,22,0,one_pair
c,c,c,c,5,J,4,2,5,1,2,0,one_pair
c,c,r,c,3,A,K,8,7,2,2,0,one_pair
c,c,c,c,K,3,K,3,J,2,2,0,two_pairs
c,c,rr,r,T,8,Q,5,6,2,2,0,two_pairs
c,c,c,c,K,8,K,Q,J,2,2,0,one_pair
c,r,r,c,8,J,6,3,9,2,2,0,one_pair
c,c,c,c,Q,J,7,8,4,1,2,3,high_card
c,c,c,r,9,6,9,J,2,1,2,3,one_pair
c,r,r,c,5,9,8,J,K,1,2,3,one_pair
c,c,c,c,5,A,8,6,5,2,22,0,one_pair
c,rr,rr,rr,T,A,7,9,8,2,2,0,two_pairs
rr,r,c,rr,Q,T,6,J,3,1,1,0,one_pair
c,c,c,c,A,2,5,7,T,2,2,0,high_card
r,r,r,r,5,9,5,A,A,2,2,0,two_pairs
c,rr,r,r,Q,7,T,T,T,3,3,3,full_house
c,c,c,c,5,4,K,Q,2,2,2,0,high_card
c,r,r,c,8,Q,4,8,9,2,2,3,two_pairs
c,c,c,c,K,T,K,7,A,2,2,0,one_pair
c,c,c,c,K,8,4,T,5,2,22,3,high_card
c,r,c,r,T,J,4,J,3,1,2,0,full_house
c,c,c,c,9,2,Q,8,5,1,1,0,high_card
c,r,c,r,A,2,A,8,K,2,2,0,one_pair
c,rr,rr,c,4,2,8,T,J,2,22,3,one_pair
c,r,c,c,5,9,3,K,T,1,2,3,one_pair
c,c,c,c,9,A,7,K,3,2,3,4,one_pair
c,r,c,c,T,5,9,5,A,1,2,0,one_pair
r,rr,rr,c,7,A,J,Q,6,3,4,4,two_pairs
c,r,r,c,7,2,5,2,9,1,1,0,one_pair
c,r,r,c,T,2,J,5,6,2,2,0,high_card
c,r,rr,r,7,K,2,J,2,2,2,0,two_pairs
c,c,c,c,5,A,7,K,9,3,3,4,two_pairs
c,r,rr,r,T,J,9,T,8,2,2,0,straight
c,r,rr,rr,T,3,J,Q,5,1,1,0,three_of_a_kind
c,c,c,c,6,4,5,A,3,1,2,0,one_pair
c,c,c,c,Q,A,6,K,4,1,2,0,one_pair
c,c,c,c,3,9,9,J,5,1,2,0,one_pair
c,r,c,c,2,5,2,6,A,1,1,0,two_pairs
c,rr,rr,rr,K,Q,2,Q,6,1,2,0,full_house
r,rr,r,c,2,A,J,Q,J,2,3,4,two_pairs
c,r,c,c,8,2,J,Q,7,2,2,3,one_pair
c,c,c,r,9,Q,7,5,4,2,22,0,one_pair
c,r,c,c,9,T,2,5,5,2,3,3,one_pair
r,r,rr,rr,9,J,5,9,K,2,2,0,two_pairs
c,r,c,c,7,5,A,2,K,3,4,4,flush
c,c,c,r,A,2,K,6,A,1,2,3,two_pairs
c,c,c,c,J,7,A,6,4,2,3,3,high_card
c,r,c,c,Q,4,2,2,J,2,2,0,one_pair
c,r,c,r,8,6,5,T,3,2,2,3,one_pair
c,rr,rr,rr,J,4,7,4,2,1,1,0,full_house
c,c,c,c,Q,Q,A,6,6,2,3,3,two_pairs
c,c,c,r,K,5,7,3,6,2,2,0,one_pair
c,r,r,c,J,7,4,5,A,2,2,0,one_pair
c,c,c,r,6,7,T,J,Q,2,2,3,one_pair
rr,r,r,rr,2,A,5,K,9,2,3,4,flush
r,c,r,r,T,5,5,T,5,2,2,0,full_house
c,r,c,r,Q,Q,5,4,J,1,2,0,two_pairs
c,c,r,r,Q,3,J,T,A,2,2,3,one_pair
c,r,c,rr,K,5,K,5,3,2,2,3,flush
c,r,c,c,9,K,A,2,2,2,3,3,two_pairs
c,c,c,r,5,4,K,8,5,2,3,3,one_pair
c,r,r,r,4,7,4,2,T,1,2,0,two_pairs
c,r,r,c,7,8,2,K,6,2,2,0,high_card
c,c,c,c,7,9,Q,4,A,2,3,4,one_pair
c,c,c,c,9,J,2,A,9,1,2,0,one_pair
c,rr,r,r,A,T,5,8,4,2,2,3,two_pairs
c,c,c,c,6,3,J,T,K,1,2,0,one_pair
c,c,c,c,T,T,T,Q,8,1,1,0,three_of_a_kind
c,r,c,c,T,K,Q,Q,J,2,22,3,two_pairs
c,c,c,c,K,7,J,6,2,2,3,3,high_card
c,r,c,r,4,K,Q,T,A,2,3,4,flush
c,rr,c,c,J,K,5,4,Q,1,2,3,one_pair
c,c,c,c,3,6,9,6,8,1,2,0,two_pairs
c,rr,r,r,7,4,9,Q,A,1,2,0,one_pair
c,rr,c,c,K,8,A,K,9,2,2,0,two_pairs
c,c,c,c,K,9,8,6,T,2,22,0,high_card
c,c,r,rr,8,4,6,T,9,1,2,0,straight
c,r,rr,c,3,4,7,Q,K,1,2,0,one_pair
rr,r,rr,rr,7,Q,5,Q,K,2,2,0,three_of_a_kind
c,c,c,c,5,K,K,4,Q,1,2,3,one_pair
c,c,r,c,7,J,4,8,J,2,3,3,one_pair
c,c,c,c,K,5,8,J,2,2,2,0,high_card
c,c,rr,c,7,3,3,5,K,1,2,0,two_pairs
rr,r,c,c,6,K,2,9,2,2,3,3,one_pair
c,rr,r,r,6,7,A,4,A,1,2,0,two_pairs
c,r,r,c,T,7,J,4,Q,1,2,0,one_pair
c,c,r,c,J,6,9,6,K,2,22,0,one_pair
c,r,rr,rr,T,K,Q,Q,5,2,2,3,two_pairs
c,c,c,c,7,8,T,6,T,2,3,3,one_pair
c,r,c,c,6,3,3,4,9,2,2,0,two_pairs
c,c,c,c,6,T,2,Q,2,1,2,0,one_pair
c,r,r,r,9,7,8,4,5,1,2,0,one_pair
c,rr,c,rr,7,K,K,3,A,2,2,0,two_pairs
c,r,c,c,J,4,A,8,T,2,3,3,one_pair
c,r,c,c,T,A,6,3,Q,2,2,0,high_card
c,r,c,rr,2,5,9,3,T,2,2,0,one_pair
c,c,c,c,K,7,5,8,3,3,3,3,high_card
c,c,r,r,2,K,8,6,7,1,1,0,one_pair
c,c,c,c,7,5,2,5,T,1,1,0,one_pair
c,rr,r,c,3,4,K,4,K,2,22,0,two_pairs
c,c,c,rr,9,8,3,9,5,2,3,3,full_house
c,rr,r,c,3,T,Q,2,5,1,2,0,one_pair
c,c,c,c,6,J,A,6,Q,3,3,4,flush
c,c,c,c,K,A,Q,A,9,2,2,0,one_pair
c,c,c,c,9,3,K,8,Q,1,1,0,high_card
rr,rr,c,c,7,6,7,6,8,2,2,0,two_pairs
c,c,c,c,5,9,5,2,3,1,2,0,one_pair
r,rr,rr,rr,T,5,A,9,6,2,22,0,one_pair
c,r,c,r,8,J,2,3,5,1,2,3,one_pair
c,c,c,c,J,8,3,3,K,1,2,0,one_pair
c,c,c,r,9,J,Q,T,K,2,2,0,straight
r,rr,rr,r,6,T,9,3,7,2,3,3,one_pair
c,rr,r,c,8,5,T,T,9,2,22,0,two_pairs
c,r,rr,r,7,T,T,3,Q,1,2,0,three_of_a_kind
c,rr,r,c,A,T,K,J,Q,2,2,3,flush
c,c,c,c,Q,Q,K,A,J,2,2,0,one_pair
c,r,c,r,6,T,7,Q,7,2,2,0,two_pairs
c,c,c,c,A,T,T,8,4,1,2,0,one_pair
rr,rr,r,r,K,8,T,A,9,2,2,0,one_pair
c,c,c,r,Q,Q,3,5,2,2,22,3,two_pairs
c,c,c,c,7,5,3,T,2,1,2,0,one_pair
c,c,c,r,T,7,K,J,3,2,3,3,one_pair
r,rr,c,c,5,2,5,6,4,1,1,0,one_pair
c,r,c,c,Q,7,2,7,6,1,1,0,two_pairs
c,c,c,c,Q,T,8,K,7,1,2,0,one_pair
c,r,rr,c,7,6,2,2,J,1,1,0,two_pairs
c,c,c,c,8,7,4,Q,K,2,3,3,high_card
c,r,c,c,2,9,7,Q,7,3,3,3,two_pairs
c,c,c,c,2,7,8,A,6,1,2,0,high_card
rr,rr,r,rr,2,J,5,9,J,2,2,0,two_pairs
c,c,c,c,Q,A,A,2,Q,1,2,3,two_pairs
r,r,c,rr,3,K,K,4,A,2,2,0,two_pairs
c,c,rr,c,4,3,K,6,8,1,2,3,one_pair
c,r,r,c,7,6,J,8,K,1,2,0,one_pair
c,c,c,c,K,J,8,7,T,1,2,0,high_card
c,r,r,c,3,2,2,J,T,1,2,0,two_pairs
r,c,r,c,T,6,2,K,8,2,2,0,high_card
rr,r,rr,r,3,9,K,K,5,1,1,0,one_pair
c,c,c,c,9,4,2,2,2,2,2,3,three_of_a_kind
c,rr,r,c,7,2,T,6,K,1,1,0,one_pair
c,r,r,rr,T,J,6,7,7,2,2,0,two_pairs
c,c,c,c,9,9,3,7,A,1,2,3,one_pair
c,c,c,c,Q,2,A,7,9,2,2,0,high_card
c,c,c,c,6,4,5,A,J,2,22,3,one_pair
c,c,c,rr,T,7,T,2,J,1,1,0,two_pairs
c,c,c,c,8,9,3,2,7,2,2,3,one_pair
c,rr,rr,c,7,2,4,T,5,2,2,0,one_pair
c,c,c,c,9,T,8,5,5,1,2,0,one_pair
c,c,r,c,7,3,J,9,T,2,22,3,one_pair
c,rr,rr,r,7,K,8,8,8,2,2,3,flush
c,c,c,c,Q,Q,7,3,T,2,22,0,one_pair
c,r,c,rr,3,T,2,K,2,2,2,0,three_of_a_kind
c,c,c,c,4,6,A,8,K,2,22,3,high_card
c,r,r,r,7,9,2,T,Q,1,1,0,straight
c,c,c,rr,6,6,K,2,3,2,22,0,two_pairs
c,rr,c,r,8,7,2,T,8,1,2,3,two_pairs
c,r,rr,c,6,3,8,2,4,1,2,0,high_card
c,r,c,c,4,2,2,J,7,1,2,0,one_pair
c,r,r,c,K,6,2,A,7,2,2,0,one_pair
c,r,c,c,5,2,6,9,2,1,2,0,one_pair
c,c,c,c,7,8,J,7,J,2,3,3,two_pairs
c,r,r,c,8,8,4,3,5,1,2,0,two_pairs
c,c,c,c,Q,K,J,A,A,2,2,0,two_pairs
r,r,rr,rr,A,7,K,T,7,2,2,0,two_pairs
c,r,rr,rr,3,3,J,8,7,2,2,0,three_of_a_kind
c,c,r,c,4,5,J,8,4,1,1,0,two_pairs
c,rr,c,r,2,K,J,Q,8,2,3,3,one_pair
c,c,c,c,K,7,2,T,A,2,2,0,high_card
c,c,c,c,7,8,7,Q,J,1,2,0,one_pair
c,c,rr,rr,5,5,2,A,2,2,2,0,two_pairs
c,c,c,c,3,2,Q,8,T,1,2,0,one_pair
rr,r,r,r,Q,8,5,J,9,3,3,3,straight
c,r,r,c,K,5,3,7,7,2,3,3,two_pairs
r,r,r,c,3,4,Q,J,J,1,2,0,one_pair
c,rr,r,rr,2,T,2,T,4,1,1,0,full_house
c,c,c,c,K,Q,9,9,Q,2,2,0,two_pairs
c,c,c,c,7,A,3,Q,Q,2,22,0,one_pair
r,r,rr,rr,K,4,9,A,9,3,3,3,flush
c,r,rr,c,8,A,K,4,J,2,2,3,one_pair
c,c,r,c,9,4,K,6,Q,1,2,3,one_pair
c,r,rr,r,9,6,K,7,Q,2,2,0,one_pair
c,c,c,rr,Q,2,5,8,2,2,3,3,three_of_a_kind
c,rr,r,c,A,8,4,4,7,2,2,0,two_pairs
c,c,r,r,A,Q,T,J,5,2,3,3,one_pair
c,r,c,r,A,9,4,T,8,1,2,3,two_pairs
rr,c,c,r,4,J,2,4,J,2,2,0,two_pairs
c,r,c,c,A,6,K,3,J,1,2,3,one_pair
c,c,c,c,2,6,7,3,9,1,2,0,high_card
c,c,c,c,2,K,J,3,8,2,2,3,one_pair
c,c,c,c,J,7,A,6,A,1,2,0,one_pair
c,c,r,r,J,5,8,5,5,2,2,3,three_of_a_kind
c,c,c,c,T,3,J,3,9,2,3,3,one_pair
c,c,r,r,J,J,9,6,6,2,22,0,full_house
c,c,r,rr,6,7,T,Q,9,2,2,0,straight
c,c,c,c,J,A,4,6,2,2,22,3,high_card
c,c,c,c,7,8,6,A,4,2,2,3,straight
c,c,c,c,4,J,T,7,5,2,3,4,high_card
c,c,c,c,4,2,9,9,A,2,2,0,one_pair
c,r,c,c,J,J,3,3,6,1,1,0,two_pairs
r,rr,rr,rr,9,2,4,5,T,2,2,3,one_pair
c,c,c,c,2,8,8,Q,7,1,2,3,one_pair
c,c,r,c,J,9,6,3,9,1,2,0,two_pairs
c,c,rr,r,6,A,6,8,2,1,2,0,two_pairs
c,c,c,c,K,3,5,6,A,1,2,0,high_card
c,r,c,r,K,5,K,3,K,2,3,3,three_of_a_kind
c,r,c,c,A,A,8,K,T,2,3,3,one_pair
c,r,c,r,T,7,9,A,T,1,2,3,two_pairs
c,c,r,c,5,3,3,K,J,1,2,0,one_pair
c,r,r,r,9,8,K,A,4,3,4,4,flush
c,c,c,c,Q,Q,6,K,2,1,1,0,one_pair
c,r,c,c,2,4,A,3,2,1,1,0,two_pairs
c,c,c,c,A,A,8,8,Q,2,2,0,two_pairs
c,r,rr,rr,8,A,T,5,7,2,22,0,one_pair
c,c,r,c,Q,Q,K,3,5,1,1,0,one_pair
c,c,c,c,K,9,5,4,Q,1,2,0,one_pair
c,c,c,c,Q,8,7,6,3,1,2,0,high_card
c,c,c,r,A,J,J,8,6,1,2,0,two_pairs
c,c,c,c,Q,2,A,7,8,2,2,0,one_pair
c,c,c,c,J,J,A,J,K,2,2,0,three_of_a_kind
c,r,r,rr,3,Q,7,6,Q,2,22,0,three_of_a_kind
c,r,c,c,2,2,3,5,7,1,2,0,one_pair
c,r,rr,r,5,6,A,2,4,2,2,0,one_pair
rr,rr,rr,rr,Q,J,3,A,6,1,1,0,three_of_a_kind
c,r,c,r,3,5,6,2,T,1,2,0,one_pair
c,c,c,c,6,3,5,J,K,2,22,3,high_card
c,c,r,c,A,8,5,Q,3,1,2,0,one_pair
c,c,c,r,7,2,5,8,K,2,22,0,one_pair
c,r,c,c,9,A,8,8,3,2,2,0,two_pairs
c,c,r,r,K,4,2,9,4,3,3,3,one_pair
c,c,c,c,7,A,Q,2,2,2,2,0,one_pair
c,c,c,c,6,J,4,K,6,2,3,3,one_pair
r,r,r,rr,5,A,J,2,6,1,2,0,one_pair
c,rr,rr,rr,5,J,J,3,2,2,2,0,full_house
c,r,rr,c,4,Q,7,9,6,3,4,4,two_pairs
c,c,c,c,5,6,5,T,A,1,2,0,two_pairs
c,c,c,c,7,6,3,5,2,3,3,3,high_card
c,r,r,c,8,5,6,K,J,3,3,3,one_pair
c,c,c,c,T,Q,8,9,5,2,22,0,one_pair
c,c,r,r,5,6,Q,5,J,2,2,0,three_of_a_kind
c,r,r,r,K,3,5,5,7,2,2,3,two_pairs
c,c,c,c,8,7,5,8,4,2,22,0,one_pair
c,c,c,c,J,6,9,T,K,2,2,3,one_pair
rr,c,r,c,A,6,5,J,6,3,3,3,one_pair
c,r,c,r,5,2,Q,8,9,1,1,0,one_pair
c,rr,c,rr,7,J,K,4,A,1,1,0,two_pairs
c,c,c,r,3,7,7,K,T,2,2,0,two_pairs
c,r,c,rr,2,4,4,8,8,1,2,0,two_pairs
c,c,c,c,6,5,5,2,K,1,2,0,one_pair
c,r,r,c,7,J,8,A,7,1,2,0,one_pair
c,c,c,c,9,3,A,8,2,2,3,3,high_card
c,rr,r,rr,A,Q,2,8,3,2,2,0,two_pairs
c,r,rr,r,K,Q,A,J,Q,2,3,3,flush
c,r,c,c,K,9,J,2,Q,2,2,0,one_pair
c,c,c,c,4,3,9,Q,6,1,1,0,high_card
c,r,r,c,4,J,K,3,7,1,2,0,high_card
c,c,c,c,T,5,8,K,7,2,2,3,high_card
c,c,c,c,Q,K,9,6,3,1,1,0,high_card
r,rr,r,r,4,2,7,8,3,1,2,3,one_pair
c,c,c,c,Q,Q,9,4,9,2,2,0,two_pairs
c,c,rr,c,2,Q,J,Q,4,2,22,0,two_pairs
c,rr,rr,r,9,5,8,2,K,1,2,0,straight
c,rr,r,c,9,Q,7,4,6,2,22,0,three_of_a_kind
c,c,c,c,4,K,7,2,5,1,1,0,one_pair
c,c,r,c,4,A,K,J,7,2,2,0,one_pair
c,r,r,r,6,Q,A,4,8,2,3,4,two_pairs
c,c,c,c,8,4,2,2,4,3,3,3,two_pairs
c,rr,rr,r,A,6,A,9,8,2,22,3,three_of_a_kind
c,r,r,rr,T,7,3,7,8,1,2,0,three_of_a_kind
c,c,c,c,7,8,Q,Q,5,1,2,3,two_pairs
c,c,c,c,T,9,7,J,4,2,2,3,high_card
c,c,rr,r,6,2,2,7,5,1,2,0,two_pairs
c,c,r,c,Q,7,9,T,9,2,22,0,one_pair
c,r,c,c,J,3,T,K,9,2,2,0,high_card
c,c,c,c,Q,5,9,6,7,2,2,3,high_card
c,r,c,r,4,K,Q,J,7,2,22,0,one_pair
c,c,c,c,3,5,3,6,Q,1,1,0,one_pair
c,r,c,c,T,2,6,5,J,1,2,3,one_pair
c,c,r,c,K,Q,K,2,A,2,22,3,two_pairs
c,r,c,r,A,4,A,6,6,2,2,0,full_house
c,c,c,c,Q,T,2,4,J,2,2,3,high_card
c,c,c,c,A,7,Q,8,Q,2,22,0,two_pairs
c,c,c,c,J,6,A,K,5,2,22,0,high_card
c,c,c,c,T,8,A,5,A,2,2,0,one_pair
r,rr,r,rr,K,8,A,3,K,2,2,0,four_of_a_kind
c,c,c,c,J,K,3,6,4,1,2,3,high_card
c,c,c,c,K,5,3,2,A,2,2,3,high_card
c,c,c,c,J,4,9,J,4,2,22,3,two_pairs
c,c,c,c,8,9,Q,Q,3,2,2,0,one_pair
c,c,c,c,A,2,6,7,Q,2,2,0,high_card
c,c,c,c,Q,2,9,7,K,1,1,0,one_pair
c,c,c,c,6,7,3,Q,A,1,2,0,high_card
c,c,r,c,7,4,T,7,3,1,1,0,one_pair
c,c,c,c,2,3,5,7,K,1,1,0,one_pair
c,r,r,rr,A,Q,7,9,6,2,22,0,one_pair
c,c,c,c,7,4,6,2,T,1,2,0,one_pair
c,r,c,c,6,6,A,8,3,2,2,0,one_pair
c,r,r,c,9,Q,7,7,T,1,2,3,two_pairs
c,r,r,r,A,8,6,5,T,3,3,4,flush
c,rr,rr,c,2,9,J,Q,T,2,2,0,two_pairs
c,c,c,c,T,7,2,3,3,2,2,0,one_pair
c,r,r,c,5,8,T,A,3,3,3,3,one_pair
c,c,c,c,3,7,K,6,3,2,22,3,one_pair
c,c,c,c,6,A,5,6,7,2,2,0,one_pair
c,c,c,c,5,6,Q,Q,4,1,1,0,one_pair
c,c,c,c,A,5,Q,K,6,1,2,0,one_pair
c,r,rr,c,4,Q,A,J,6,1,2,0,one_pair
c,c,c,r,2,A,2,7,7,1,2,0,two_pairs
c,rr,c,r,8,8,4,J,7,1,2,0,two_pairs
c,c,c,c,9,Q,T,8,9,1,2,0,one_pair
c,c,c,c,Q,6,6,9,7,2,2,0,one_pair
c,c,c,c,Q,J,K,6,7,1,2,0,high_card
c,r,c,c,2,A,6,K,2,2,3,3,two_pairs
c,c,c,c,4,J,J,2,5,1,2,3,two_pairs
c,c,c,c,3,J,Q,7,7,1,2,0,one_pair
c,r,r,r,2,9,4,J,9,2,22,0,one_pair
c,c,c,c,7,A,4,3,4,1,2,0,one_pair
c,c,c,c,J,6,5,5,A,2,2,0,one_pair
c,c,c,c,2,7,9,A,6,1,2,0,high_card
c,c,c,c,6,2,A,2,9,1,2,3,one_pair
c,c,c,c,K,8,8,A,8,2,2,0,three_of_a_kind
c,rr,c,c,2,J,5,7,9,2,2,0,one_pair
c,r,r,rr,5,K,Q,5,2,2,2,3,two_pairs
c,c,c,c,6,7,T,K,6,2,2,3,two_pairs
c,r,c,c,7,T,K,6,5,1,2,0,high_card
c,c,c,c,A,5,T,3,K,2,2,0,two_pairs
c,c,c,c,T,8,5,6,T,2,3,3,one_pair
c,c,r,c,3,9,8,2,5,2,2,0,two_pairs
c,rr,r,c,J,9,2,6,K,1,2,0,one_pair
c,r,c,r,J,Q,6,4,8,2,3,3,one_pair
c,r,rr,rr,K,K,3,A,T,2,3,4,full_house
c,r,rr,rr,5,2,J,2,T,1,1,0,three_of_a_kind
c,c,c,c,A,7,4,3,2,1,2,0,one_pair
c,c,c,c,J,9,6,Q,7,2,2,0,one_pair
c,c,c,c,7,3,2,4,9,2,3,4,flush
c,c,c,c,T,Q,6,3,8,2,2,0,one_pair
r,r,c,c,T,9,T,9,4,2,2,0,two_pairs
c,c,c,c,8,4,A,J,7,2,3,3,high_card
c,c,c,c,9,J,5,A,4,2,2,0,high_card
c,c,c,c,4,7,2,8,3,2,2,0,one_pair
c,c,c,c,9,J,7,5,4,2,2,0,high_card
c,c,c,c,T,8,9,J,3,2,2,0,high_card
c,c,c,c,8,J,8,K,5,1,2,0,one_pair
c,c,r,c,3,6,T,5,K,2,2,0,high_card
c,c,r,c,T,7,K,T,3,2,2,3,two_pairs
r,c,r,r,3,K,4,6,K,2,3,3,one_pair
c,r,rr,r,7,8,3,J,6,3,3,3,flush
c,c,r,c,4,8,8,7,6,2,22,0,one_pair
c,r,c,c,6,3,8,5,2,2,3,3,high_card
c,c,c,rr,2,Q,6,3,Q,2,22,0,two_pairs
c,r,r,c,9,K,T,7,7,1,2,0,one_pair
c,r,r,c,8,2,5,K,9,1,2,0,one_pair
rr,r,c,r,4,7,4,5,9,1,2,0,two_pairs
c,c,c,c,9,6,2,6,A,2,2,0,one_pair
c,r,c,r,T,9,9,4,7,2,2,0,two_pairs
c,c,c,c,K,2,8,Q,4,1,2,0,high_card
c,rr,r,c,A,4,2,5,K,2,2,3,two_pairs
c,c,c,c,9,K,5,6,3,2,2,0,high_card
r,c,c,r,8,3,6,7,J,2,2,0,one_pair
c,r,c,c,T,9,5,A,3,2,2,0,one_pair
c,c,c,c,6,2,9,3,8,2,2,3,high_card
c,r,rr,r,K,A,9,3,5,2,2,3,one_pair
c,r,r,r,5,K,2,5,6,2,22,3,two_pairs
c,c,c,c,5,A,2,6,8,1,2,0,high_card
c,r,c,c,9,Q,K,J,5,2,2,3,one_pair
c,c,c,c,8,7,T,8,5,2,2,0,one_pair
c,r,c,rr,8,6,8,9,J,2,2,0,two_pairs
c,r,r,c,8,J,6,4,K,2,2,0,one_pair
c,r,r,c,6,6,A,3,4,1,2,0,one_pair
c,c,c,c,6,8,7,T,J,1,2,0,high_card
c,r,r,c,J,9,4,8,9,1,2,3,two_pairs
r,rr,r,c,K,8,6,7,J,2,3,3,one_pair
c,c,c,c,2,3,4,7,9,1,2,0,high_card
r,r,r,c,Q,J,J,7,6,1,2,0,one_pair
r,c,c,c,5,2,A,4,7,1,1,0,one_pair
c,c,c,c,7,8,5,A,Q,2,2,3,one_pair
c,rr,c,r,9,7,4,T,4,2,2,0,two_pairs
c,c,c,c,K,3,4,4,5,1,2,3,one_pair
c,c,c,c,4,A,J,2,8,1,2,0,high_card
c,c,rr,c,6,8,6,5,8,2,22,3,full_house
c,c,c,c,Q,4,7,8,J,1,1,0,high_card
c,c,c,c,T,K,2,7,6,2,2,0,high_card
c,c,c,c,7,Q,2,8,7,2,3,3,one_pair
c,rr,rr,r,K,3,A,Q,Q,2,3,3,two_pairs
c,r,c,r,A,5,6,A,3,2,2,0,two_pairs
c,c,c,c,Q,K,3,5,9,2,2,0,high_card
r,rr,r,rr,2,Q,7,4,Q,2,22,0,three_of_a_kind
c,c,c,c,2,8,A,2,7,1,1,0,one_pair
c,r,c,c,2,8,9,A,3,3,3,4,flush
c,r,c,c,7,T,7,8,J,1,2,0,one_pair
c,c,c,c,A,6,6,2,3,2,2,0,two_pairs
c,rr,c,r,K,3,9,4,T,1,2,3,one_pair
c,c,c,c,5,8,A,5,T,1,2,0,one_pair
c,rr,r,rr,6,6,4,7,2,1,1,0,two_pairs
c,c,c,c,4,6,8,K,9,1,2,0,high_card
c,rr,c,c,Q,4,2,8,8,2,22,0,two_pairs
c,rr,r,r,4,A,9,3,A,2,2,0,two_pairs
c,r,rr,r,7,J,A,3,9,2,22,3,one_pair
c,c,c,c,2,7,7,9,7,1,2,0,three_of_a_kind
c,c,c,c,3,6,4,2,4,2,22,0,one_pair
c,rr,rr,rr,9,5,7,7,2,2,2,0,full_house
rr,rr,rr,c,5,5,3,2,9,1,2,0,two_pairs
c,c,c,c,J,9,4,2,K,2,22,0,high_card
c,rr,c,c,T,6,8,7,A,2,2,3,one_pair
c,c,c,c,9,T,3,9,Q,2,2,3,two_pairs
c,c,c,c,4,9,6,Q,7,2,22,3,high_card
c,r,rr,rr,6,9,2,5,4,2,3,3,flush
