@RELATION SimpleBotHROM

@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
c,c,c,c,Q,A,4,6,J,2,2,3,high_card
c,c,c,c,A,4,T,2,K,1,2,0,high_card
c,c,c,c,7,Q,2,T,9,2,2,3,one_pair
c,c,c,rr,J,2,4,6,K,1,2,0,one_pair
c,c,c,c,2,4,A,J,A,1,2,0,one_pair
c,c,c,c,3,2,4,5,6,3,4,4,straight
c,c,c,c,J,Q,A,T,2,1,2,0,high_card
c,c,c,c,J,7,7,6,2,2,3,3,one_pair
c,c,c,c,3,2,5,9,Q,2,2,0,high_card
c,c,c,c,2,Q,J,9,6,2,22,3,one_pair
c,c,c,c,J,J,6,8,3,2,2,0,one_pair
c,c,c,c,Q,3,8,9,9,2,2,0,one_pair
c,c,c,c,6,7,3,8,6,2,2,0,one_pair
c,c,c,c,7,7,K,5,8,2,22,0,one_pair
c,r,r,c,Q,T,A,Q,2,2,2,0,one_pair
c,c,c,c,6,5,Q,T,5,2,2,3,one_pair
c,c,c,c,4,5,T,Q,K,3,3,3,high_card
c,c,c,c,T,5,K,9,K,2,22,3,one_pair
c,c,c,c,5,7,4,6,9,1,2,0,high_card
c,c,c,c,4,6,5,3,Q,2,3,3,one_pair
c,c,c,c,9,K,5,7,J,2,3,3,high_card
c,c,c,c,7,Q,8,Q,A,1,2,0,one_pair
c,c,c,c,7,4,T,7,6,2,2,0,one_pair
c,c,c,c,2,J,3,Q,T,3,3,3,high_card
c,c,c,c,6,K,3,2,4,2,2,0,high_card
c,c,c,c,3,A,5,6,2,3,3,3,high_card
c,c,c,c,8,K,8,2,K,1,1,0,two_pairs
r,c,r,c,7,K,Q,6,3,2,2,0,high_card
c,c,r,c,7,J,7,Q,9,2,2,0,two_pairs
c,c,r,c,K,4,7,5,7,2,3,4,flush
c,c,c,c,2,8,4,A,9,2,3,3,high_card
c,c,c,c,Q,J,6,8,6,1,2,3,two_pairs
c,r,c,c,A,Q,9,7,4,2,2,0,one_pair
c,r,c,c,6,5,K,J,7,1,2,3,one_pair
c,c,c,c,4,3,5,4,8,1,2,0,one_pair
c,rr,rr,rr,8,7,A,Q,K,3,3,3,flush
c,c,c,c,6,9,7,7,5,2,2,3,one_pair
c,rr,c,c,J,9,2,4,3,1,2,0,one_pair
c,c,c,c,7,2,6,J,4,2,3,3,high_card
c,c,c,c,6,K,T,Q,T,1,1,0,one_pair
rr,rr,c,c,4,T,5,K,4,2,22,0,one_pair
c,c,c,c,A,7,6,2,5,2,2,3,high_card
c,c,c,c,4,3,7,8,3,1,2,0,one_pair
c,c,c,c,8,A,J,4,T,2,3,4,one_pair
c,c,c,c,5,9,K,4,Q,2,22,3,high_card
c,c,c,c,7,3,2,2,A,1,1,0,one_pair
r,r,c,c,T,8,9,6,K,3,3,4,high_card
c,c,c,c,6,2,A,7,5,1,2,0,high_card
c,c,c,c,8,Q,J,J,8,2,2,0,two_pairs
c,rr,r,r,8,2,2,A,9,1,2,0,three_of_a_kind
c,c,c,r,J,9,8,2,2,2,2,0,two_pairs
c,c,r,r,6,3,Q,3,3,2,2,0,full_house
c,c,c,c,6,2,K,8,J,2,3,3,one_pair
c,rr,c,c,T,2,3,8,7,2,22,0,high_card
c,r,r,r,2,9,T,K,7,2,3,3,two_pairs
c,c,r,c,7,8,K,4,5,1,1,0,high_card
c,c,c,r,2,9,5,7,K,2,2,0,one_pair
c,rr,r,r,A,5,Q,T,4,2,22,3,two_pairs
c,r,r,r,8,K,3,T,Q,2,2,0,one_pair
c,c,c,c,3,3,Q,3,A,1,1,0,three_of_a_kind
c,c,c,c,7,9,J,4,2,2,22,0,high_card
c,rr,r,r,Q,9,2,3,5,2,2,0,one_pair
c,r,c,c,9,3,6,3,A,2,2,0,two_pairs
r,c,c,r,3,A,7,J,5,2,22,3,flush
c,rr,c,c,9,4,T,6,5,2,3,3,one_pair
c,c,r,c,2,K,A,2,4,3,3,3,one_pair
r,c,r,c,3,Q,4,6,7,2,22,3,high_card
c,r,c,c,2,5,3,3,4,1,2,0,one_pair
c,r,r,r,K,K,Q,2,3,2,2,0,three_of_a_kind
c,r,r,rr,9,6,J,K,J,1,2,0,one_pair
c,rr,r,r,Q,K,9,3,7,2,22,3,one_pair
r,rr,c,c,T,6,9,K,8,1,2,0,one_pair
c,c,r,c,3,Q,9,9,5,2,2,3,one_pair
rr,r,c,c,7,3,2,5,8,1,2,0,one_pair
c,c,r,r,K,7,K,6,6,1,2,0,two_pairs
c,c,r,r,A,3,Q,2,2,2,2,3,two_pairs
rr,r,c,r,J,6,T,9,5,1,2,0,one_pair
c,r,r,r,J,4,K,9,6,2,2,3,one_pair
c,r,r,r,2,Q,K,2,Q,1,1,0,two_pairs
c,c,c,c,A,9,8,6,7,1,2,3,two_pairs
r,r,r,r,4,J,J,6,T,1,2,0,full_house
c,r,r,r,3,A,J,9,6,1,1,0,one_pair
c,c,r,r,J,9,4,8,6,1,2,0,straight
c,c,c,r,K,T,8,3,7,2,2,3,one_pair
rr,r,c,c,8,9,2,4,K,2,2,0,one_pair
c,c,c,c,7,8,A,Q,T,2,3,3,high_card
rr,c,c,c,6,8,Q,T,8,1,2,3,one_pair
c,rr,r,r,A,4,7,4,8,1,2,0,two_pairs
c,c,c,c,T,4,5,8,A,2,2,3,one_pair
c,rr,c,c,6,6,3,2,9,1,2,0,one_pair
c,c,r,rr,A,K,J,Q,2,1,2,0,flush
c,r,r,r,5,4,J,9,2,1,2,3,one_pair
rr,r,c,r,K,3,2,5,5,2,3,3,two_pairs
c,c,r,r,Q,A,5,9,J,2,2,3,flush
c,rr,rr,r,K,4,7,Q,T,2,2,0,one_pair
c,r,c,c,4,8,5,3,2,2,2,0,one_pair
c,c,c,c,4,2,K,8,6,2,22,3,one_pair
c,c,c,c,8,A,2,K,2,2,22,0,one_pair
c,r,r,c,2,9,A,K,7,2,22,0,one_pair
c,c,c,r,5,2,T,A,5,2,3,3,two_pairs
c,r,r,c,8,A,Q,4,6,1,1,0,high_card
c,r,c,c,3,7,6,8,Q,1,2,0,high_card
c,r,c,c,J,Q,4,4,A,2,2,0,two_pairs
r,c,c,c,6,4,2,A,5,2,2,0,high_card
c,c,r,c,J,5,A,4,K,1,2,3,one_pair
c,c,r,c,T,J,7,9,Q,2,2,0,one_pair
c,r,c,c,K,6,9,5,5,2,2,3,two_pairs
c,c,r,c,6,3,8,8,2,1,2,0,one_pair
c,r,r,c,K,6,A,Q,7,1,1,0,two_pairs
rr,r,r,r,8,2,A,A,T,1,2,0,two_pairs
c,c,c,c,Q,6,4,6,6,2,2,0,three_of_a_kind
rr,r,c,c,3,5,2,6,Q,2,2,3,one_pair
c,rr,r,rr,Q,3,4,9,J,2,22,3,one_pair
c,r,r,c,6,5,K,3,5,2,3,3,two_pairs
c,r,rr,r,T,4,3,5,4,2,2,0,two_pairs
c,c,c,c,6,T,Q,2,7,1,2,0,one_pair
r,r,c,c,4,A,T,J,9,2,2,0,one_pair
c,r,c,c,Q,7,2,5,7,2,2,0,two_pairs
c,r,r,c,2,A,K,3,8,1,2,3,one_pair
r,r,r,r,A,K,4,J,3,2,2,3,one_pair
r,r,c,c,T,T,3,8,6,1,2,0,one_pair
c,r,r,c,T,3,J,K,K,2,22,0,two_pairs
r,r,r,rr,3,4,7,4,4,1,2,0,full_house
c,r,rr,r,6,5,J,J,6,2,3,3,full_house
c,rr,r,c,A,T,Q,2,9,1,1,0,two_pairs
c,c,r,r,4,T,8,7,5,1,2,0,straight
c,c,c,c,5,T,A,A,3,2,3,4,one_pair
c,c,c,r,Q,5,J,T,9,1,2,0,straight
c,r,c,r,8,6,T,2,9,2,2,0,one_pair
rr,c,r,r,8,J,9,9,6,2,2,0,two_pairs
c,r,r,r,4,2,2,9,2,1,2,0,full_house
c,c,c,c,4,7,A,9,5,3,4,5,flush
c,r,r,r,T,J,K,J,6,1,1,0,two_pairs
rr,rr,c,r,2,2,3,Q,6,1,2,0,two_pairs
c,r,r,c,3,4,6,2,9,1,2,3,one_pair
r,r,c,c,Q,6,A,7,Q,1,1,0,two_pairs
c,c,c,c,6,5,J,4,8,2,2,0,high_card
c,r,rr,r,7,J,3,2,5,1,1,0,one_pair
r,r,c,r,7,7,8,Q,T,2,2,3,one_pair
c,rr,r,c,Q,2,4,3,7,2,2,0,one_pair
r,rr,c,r,3,5,K,J,2,2,3,3,one_pair
r,r,r,r,6,7,3,3,7,2,2,0,two_pairs
c,r,c,r,5,7,3,K,4,2,2,0,three_of_a_kind
c,rr,rr,c,9,A,T,T,K,1,2,3,two_pairs
c,r,rr,r,Q,5,6,8,9,1,2,3,one_pair
c,r,r,c,6,9,3,8,5,1,2,0,high_card
c,c,r,r,9,K,K,2,Q,2,2,3,two_pairs
r,r,rr,r,2,4,7,5,Q,2,2,3,one_pair
c,r,r,r,J,8,J,A,3,2,22,3,two_pairs
c,c,c,c,A,4,J,K,T,2,22,3,high_card
c,c,c,c,K,T,Q,6,A,2,22,3,one_pair
c,c,c,c,5,7,T,J,7,2,22,0,one_pair
c,c,r,r,J,3,4,K,2,1,2,3,one_pair
c,r,r,r,J,3,2,7,A,3,3,3,flush
c,r,r,r,Q,T,9,J,6,2,2,3,straight
c,r,c,r,7,A,7,8,Q,2,2,0,one_pair
c,rr,r,rr,T,2,2,3,8,2,2,0,three_of_a_kind
c,c,c,c,T,Q,8,3,8,1,2,0,one_pair
c,r,r,c,A,J,8,8,7,1,2,0,two_pairs
c,c,c,c,Q,J,9,7,K,2,3,3,high_card
r,c,r,r,K,7,5,6,2,1,2,0,three_of_a_kind
c,c,r,c,T,4,T,6,5,2,2,0,one_pair
c,r,rr,r,6,8,Q,2,4,2,2,3,one_pair
c,r,c,c,7,4,T,K,3,2,2,3,two_pairs
c,c,c,c,T,5,8,3,4,2,2,3,high_card
rr,r,rr,r,8,9,J,4,5,1,2,0,one_pair
r,r,rr,rr,Q,6,4,9,2,1,2,3,one_pair
c,r,r,r,8,6,Q,T,T,1,2,0,three_of_a_kind
c,r,c,c,4,K,6,9,5,3,4,5,flush
c,c,c,c,4,K,8,K,4,1,1,0,two_pairs
c,r,r,c,K,T,2,Q,5,3,3,4,flush
c,r,c,c,7,4,J,Q,K,2,3,3,one_pair
c,c,r,r,A,J,8,A,J,1,1,0,two_pairs
r,c,r,r,K,2,8,3,6,2,3,3,flush
c,r,r,r,2,3,5,2,Q,2,22,3,straight
c,r,c,c,Q,A,8,J,9,2,3,3,one_pair
c,r,r,c,4,6,J,3,Q,2,22,0,one_pair
r,r,r,c,8,5,K,2,4,1,2,0,one_pair
c,rr,r,r,9,9,8,9,T,1,1,0,four_of_a_kind
c,c,c,c,A,6,T,J,T,2,2,0,two_pairs
c,r,c,r,9,8,6,4,A,2,2,0,one_pair
c,r,r,r,J,9,7,3,A,1,2,0,two_pairs
c,c,c,c,9,K,3,8,J,1,1,0,one_pair
c,r,r,c,4,8,2,6,4,2,3,3,two_pairs
c,r,c,c,T,2,K,J,3,2,3,3,one_pair
c,rr,rr,r,K,9,6,K,Q,2,2,0,two_pairs
c,c,c,c,A,T,5,K,K,2,2,3,two_pairs
r,c,r,c,T,9,2,A,K,1,2,3,one_pair
c,c,c,r,K,7,A,9,3,2,2,3,high_card
c,r,r,r,K,5,6,2,2,3,4,4,two_pairs
c,c,c,c,7,8,A,8,K,2,22,0,one_pair
c,rr,r,r,9,7,A,T,5,2,22,3,one_pair
c,c,c,r,Q,A,7,9,A,2,2,0,two_pairs
c,c,rr,c,J,J,9,A,J,2,2,0,full_house
c,r,rr,c,5,T,A,8,9,2,2,0,high_card
r,r,rr,r,Q,J,7,T,6,2,2,3,two_pairs
c,c,rr,r,3,7,7,J,5,2,2,3,two_pairs
c,c,c,r,6,8,J,2,3,2,2,0,one_pair
c,r,r,r,9,5,K,5,J,2,3,3,three_of_a_kind
c,r,c,c,5,6,4,2,3,2,2,0,straight
r,r,r,c,J,5,8,T,A,3,4,5,flush
c,r,r,rr,7,J,J,8,A,2,22,0,two_pairs
c,r,rr,r,Q,9,A,4,3,1,2,3,one_pair
c,c,c,c,9,Q,A,K,2,1,1,0,high_card
c,c,r,c,T,A,J,T,6,2,2,0,one_pair
c,rr,c,r,3,7,8,J,2,1,2,0,two_pairs
c,c,c,c,3,5,2,6,3,1,2,0,two_pairs
c,c,c,c,2,7,T,9,8,1,2,0,one_pair
r,r,rr,r,6,4,5,5,2,2,22,0,two_pairs
c,c,c,r,2,A,A,5,3,2,2,0,two_pairs
c,c,r,c,4,Q,J,9,J,2,2,0,two_pairs
c,c,r,c,6,7,3,T,K,2,2,0,high_card
c,c,c,r,4,A,8,T,Q,1,2,0,one_pair
c,c,r,r,4,A,Q,9,5,2,2,0,one_pair
c,r,rr,r,T,A,Q,6,7,2,2,0,one_pair
c,r,r,rr,4,5,5,3,2,1,2,0,straight
c,c,c,c,Q,K,8,6,7,1,2,0,one_pair
c,r,rr,r,K,J,5,Q,6,2,2,0,two_pairs
c,c,rr,r,7,6,Q,9,8,2,3,3,flush
r,r,r,r,7,A,K,2,4,2,2,0,one_pair
c,r,rr,c,Q,A,3,J,T,1,1,0,one_pair
c,c,c,rr,6,T,6,9,A,2,2,0,two_pairs
rr,r,r,r,7,2,2,6,6,2,22,3,two_pairs
c,c,c,c,2,8,J,K,7,2,3,3,high_card
c,c,c,r,6,Q,J,T,K,2,2,0,one_pair
c,rr,r,r,5,3,8,7,J,2,3,3,one_pair
c,c,r,r,7,J,8,K,Q,1,2,3,one_pair
r,c,c,c,T,Q,K,8,8,1,2,0,one_pair
c,r,rr,r,Q,4,6,3,2,2,22,3,two_pairs
c,r,r,c,K,4,3,9,9,2,2,0,two_pairs
c,r,c,r,3,K,9,4,J,2,2,3,one_pair
c,c,c,r,Q,5,T,5,8,2,2,0,one_pair
c,r,rr,r,3,K,T,8,Q,2,3,3,one_pair
c,c,r,c,8,4,A,Q,Q,2,22,3,three_of_a_kind
c,c,rr,rr,K,A,6,J,7,2,2,0,flush
c,r,r,r,9,6,J,8,K,2,2,0,one_pair
c,c,c,rr,5,2,Q,A,4,2,2,3,straight
c,c,c,r,J,Q,8,3,4,2,2,3,flush
c,r,c,c,T,K,9,4,6,2,22,0,one_pair
c,r,c,r,4,5,Q,3,9,2,22,0,one_pair
c,r,c,c,J,7,Q,9,A,1,1,0,one_pair
c,r,r,rr,5,K,6,Q,2,1,1,0,one_pair
c,c,r,r,K,T,8,3,Q,2,3,4,flush
c,rr,rr,c,5,T,7,9,2,2,2,0,one_pair
c,r,r,r,A,6,Q,Q,9,2,2,0,full_house
c,r,c,c,3,J,9,3,9,3,3,3,two_pairs
c,r,c,c,9,8,Q,T,5,1,2,0,one_pair
