@RELATION SimpleBotHROM
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_strength NUMERIC
@DATA
c,c,c,c,3,5,8,8,9,1,1,0,1.5006993006993006
c,r,c,c,T,T,Q,A,A,2,2,0,2.9603729603729603
c,c,r,c,3,7,7,8,J,2,2,3,1.4611888111888112
c,c,c,c,4,7,8,9,T,1,1,0,0.9373040752351097
c,c,c,c,3,6,8,T,K,2,2,0,0.9647335423197492
c,c,c,c,5,8,9,T,A,3,3,3,0.9655172413793104
c,c,c,c,7,8,8,9,Q,3,3,3,1.4982517482517483
c,c,c,c,3,4,5,5,K,1,1,0,1.2853146853146853
c,c,c,c,2,9,9,T,A,2,3,4,1.6087412587412588
c,c,c,c,4,6,J,Q,A,2,2,3,0.8636363636363636
c,c,c,c,2,4,T,K,A,1,2,0,0.9341692789968652
c,c,c,c,2,7,9,T,Q,2,2,3,1.116083916083916
c,c,c,rr,2,4,6,J,K,1,2,0,1.9024475524475526
c,c,c,c,2,4,J,A,A,1,2,0,1.9965034965034965
c,c,c,c,2,3,4,5,6,3,4,4,4.2
c,c,c,c,2,T,J,Q,A,1,2,0,0.8691222570532915
c,c,c,c,2,6,7,7,J,2,3,3,1.4073426573426573
c,c,c,c,2,3,5,9,Q,2,2,0,0.8158307210031348
c,c,c,c,2,6,9,J,Q,2,22,3,1.0416083916083916
c,c,c,c,3,6,8,J,J,2,2,0,1.7045454545454546
c,c,c,c,3,8,9,9,Q,2,2,0,1.5744755244755244
c,c,c,c,3,6,6,7,8,2,2,0,1.3643356643356643
c,c,c,c,5,7,7,8,K,2,22,0,1.4391608391608393
c,r,r,c,2,T,Q,Q,A,2,2,0,1.8458041958041957
c,c,c,c,5,5,6,T,Q,2,2,3,1.2692307692307692
c,c,c,c,4,5,T,Q,K,3,3,3,0.5846394984326019
c,c,c,c,5,9,T,K,K,2,22,3,1.8744755244755245
c,c,c,c,4,5,6,7,9,1,2,0,0.9106583072100314
c,c,c,c,3,4,5,6,Q,2,3,3,1.2867132867132867
c,c,c,c,5,7,9,J,K,2,3,3,0.9592476489028213
c,c,c,c,7,8,Q,Q,A,1,2,0,1.8458041958041957
c,c,c,c,4,6,7,7,T,2,2,0,1.4548951048951049
c,c,c,c,2,3,T,J,Q,3,3,3,0.34247648902821315
c,c,c,c,2,3,4,6,K,2,2,0,0.9443573667711599
c,c,c,c,2,3,5,6,A,3,3,3,0.7633228840125392
c,c,c,c,2,8,8,K,K,1,1,0,2.79020979020979
r,c,r,c,3,6,7,Q,K,2,2,0,0.9984326018808778
c,c,r,c,7,7,9,J,Q,2,2,0,2.3461538461538463
c,c,r,c,4,5,7,7,K,2,3,4,5.362568519968677
c,c,c,c,2,4,8,9,A,2,3,3,0.8205329153605015
c,c,c,c,6,6,8,J,Q,1,2,3,2.2564102564102564
c,r,c,c,4,7,9,Q,A,2,2,0,1.3804195804195805
c,r,c,c,5,6,7,J,K,1,2,3,1.5923076923076924
c,c,c,c,3,4,4,5,8,1,2,0,1.2003496503496502
c,rr,rr,rr,7,8,Q,K,A,3,3,3,5.635082223962412
c,c,c,c,5,6,7,7,9,2,2,3,1.4262237762237762
c,rr,c,c,2,3,4,9,J,1,2,0,1.7076923076923078
c,c,c,c,2,4,6,7,J,2,3,3,0.7672413793103449
c,c,c,c,6,T,T,Q,K,1,1,0,1.6727272727272728
rr,rr,c,c,4,4,5,T,K,2,22,0,1.2304195804195803
