@RELATION SimpleBotHROM
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_strength NUMERIC
@DATA
c,c,c,c,9,Q,K,A,A,2,2,0,1.9993006993006994
c,c,c,c,3,8,9,Q,K,1,1,0,0.5642633228840125
rr,rr,c,c,6,6,7,7,8,2,2,0,2.1853146853146854
c,c,c,c,2,3,5,5,9,1,2,0,1.3006993006993006
r,rr,rr,rr,5,6,9,T,A,2,22,0,1.9776223776223776
c,r,c,r,2,3,5,8,J,1,2,3,1.0412587412587413
c,c,c,c,3,3,8,J,K,1,2,0,1.1314685314685315
c,c,c,r,9,T,J,Q,K,2,2,0,4.9
r,rr,rr,r,3,6,7,9,T,2,3,3,1.8751748251748253
c,rr,r,c,5,8,9,T,T,2,22,0,2.445221445221445
c,r,rr,r,3,7,T,T,Q,1,2,0,3.6666666666666665
c,rr,r,c,T,J,Q,K,A,2,2,3,5.0
c,c,c,c,J,Q,Q,K,A,2,2,0,1.8461538461538463
c,r,c,r,6,7,7,T,Q,2,2,0,2.4335664335664333
c,c,c,c,4,8,T,T,A,1,2,0,1.6916083916083915
rr,rr,r,r,8,9,T,K,A,2,2,0,1.8458041958041957
c,c,c,r,2,3,5,Q,Q,2,22,3,2.582750582750583
c,c,c,c,2,3,5,7,T,1,2,0,1.63986013986014
c,c,c,r,3,7,T,J,K,2,3,3,1.75
r,rr,c,c,2,4,5,5,6,1,1,0,1.3055944055944055
c,r,c,c,2,6,7,7,Q,1,1,0,2.1515151515151514
c,c,c,c,7,8,T,Q,K,1,2,0,1.2111888111888112
c,r,rr,c,2,2,6,7,J,1,1,0,2.086247086247086
c,c,c,c,4,7,8,Q,K,2,3,3,0.5642633228840125
c,r,c,c,2,7,7,9,Q,3,3,3,2.343822843822844
c,c,c,c,2,6,7,8,A,1,2,0,0.7719435736677116
rr,rr,r,rr,2,5,9,J,J,2,2,0,2.5734265734265733
c,c,c,c,2,Q,Q,A,A,1,2,3,2.981351981351981
r,r,c,rr,3,4,K,K,A,2,2,0,2.9988344988344986
c,c,rr,c,3,4,6,8,K,1,2,3,1.356993006993007
c,r,r,c,6,7,8,J,K,1,2,0,1.5153846153846153
c,c,c,c,7,8,T,J,K,1,2,0,0.6136363636363636
c,r,r,c,2,2,3,T,J,1,2,0,2.472027972027972
r,c,r,c,2,6,8,T,K,2,2,0,0.9647335423197492
rr,r,rr,r,3,5,9,K,K,1,1,0,1.9164335664335663
c,c,c,c,2,2,2,4,9,2,2,3,3.0326340326340326
c,rr,r,c,2,6,7,T,K,1,1,0,1.0517482517482517
c,r,r,rr,6,7,7,T,J,2,2,0,2.534965034965035
c,c,c,c,3,7,9,9,A,1,2,3,1.608041958041958
c,c,c,c,2,7,9,Q,A,2,2,0,0.8213166144200627
c,c,c,c,4,5,6,J,A,2,22,3,1.955944055944056
c,c,c,rr,2,7,T,T,J,1,1,0,2.5745920745920747
c,c,c,c,2,3,7,8,9,2,2,3,1.0367132867132867
c,rr,rr,c,2,4,5,7,T,2,2,0,1.4353146853146854
c,c,c,c,5,5,8,9,T,1,2,0,1.306993006993007
c,c,r,c,3,7,9,T,J,2,22,3,1.5674825174825173
c,rr,rr,r,7,8,8,8,K,2,2,3,5.915426781519185
c,c,c,c,3,7,T,Q,Q,2,22,0,1.8111888111888113
c,r,c,rr,2,2,3,T,K,2,2,0,3.061771561771562
c,c,c,c,4,6,8,K,A,2,22,3,0.9592476489028213
c,r,r,r,2,7,9,T,Q,1,1,0,4.8
c,c,c,rr,2,3,6,6,K,2,22,0,2.0885780885780885
c,rr,c,r,2,7,8,8,T,1,2,3,2.448717948717949
c,r,rr,c,2,3,4,6,8,1,2,0,0.4772727272727273
c,r,c,c,2,2,4,7,J,1,2,0,1.0576923076923077
c,r,r,c,2,6,7,K,A,2,2,0,1.9132867132867133
c,r,c,c,2,2,5,6,9,1,2,0,1.056993006993007
c,c,c,c,7,7,8,J,J,2,3,3,2.5337995337995336
c,r,r,c,3,4,5,8,8,1,2,0,2.2237762237762237
c,c,c,c,J,Q,K,A,A,2,2,0,2.0
r,r,rr,rr,7,7,T,K,A,2,2,0,2.8205128205128203
c,r,rr,rr,3,3,7,8,J,2,2,0,3.1165501165501164
c,c,r,c,4,4,5,8,J,1,1,0,2.034965034965035
c,rr,c,r,2,8,J,Q,K,2,3,3,1.9031468531468532
c,c,c,c,2,7,T,K,A,2,2,0,0.9921630094043887
c,c,c,c,7,7,8,J,Q,1,2,0,1.4258741258741259
c,c,rr,rr,2,2,5,5,A,2,2,0,2.8962703962703964
c,c,c,c,2,3,8,T,Q,1,2,0,1.4234265734265734
rr,r,r,r,5,8,9,J,Q,3,3,3,4.8
c,r,r,c,3,5,7,7,K,2,3,3,2.152680652680653
r,r,r,c,3,4,J,J,Q,1,2,0,1.75
c,rr,r,rr,2,2,4,T,T,1,1,0,6.621794871794872
c,c,c,c,9,9,Q,Q,K,2,2,0,2.6794871794871797
c,c,c,c,3,7,Q,Q,A,2,22,0,1.8416083916083916
r,r,rr,rr,4,9,9,K,A,3,3,3,5.517619420516836
c,r,rr,c,4,8,J,K,A,2,2,3,1.5381118881118883
c,c,r,c,4,6,9,Q,K,1,2,3,1.3646853146853146
c,r,rr,r,6,7,9,Q,K,2,2,0,1.5951048951048952
c,c,c,rr,2,2,5,8,Q,2,3,3,3.05011655011655
c,rr,r,c,4,4,7,8,A,2,2,0,2.230769230769231
c,c,r,r,5,T,J,Q,A,2,3,3,1.9807692307692308
c,r,c,r,4,8,9,T,A,1,2,3,2.230769230769231
rr,c,c,r,2,4,4,J,J,2,2,0,2.5
c,r,c,c,3,6,J,K,A,1,2,3,1.3842657342657343
c,c,c,c,2,3,6,7,9,1,2,0,0.3989028213166144
c,c,c,c,2,3,8,J,K,2,2,3,1.5926573426573427
c,c,c,c,6,7,J,A,A,1,2,0,1.9797202797202798
c,c,r,r,5,5,5,8,J,2,2,3,3.3053613053613056
c,c,c,c,3,3,9,T,J,2,3,3,1.1314685314685315
c,c,r,r,6,6,9,J,J,2,22,0,6.365384615384615
c,c,r,rr,6,7,9,T,Q,2,2,0,4.6
c,c,c,c,2,4,6,J,A,2,22,3,0.7758620689655172
c,c,c,c,4,6,7,8,A,2,2,3,4.4
c,c,c,c,4,5,7,T,J,2,3,4,0.3557993730407524
c,c,c,c,2,4,9,9,A,2,2,0,1.6143356643356643
c,r,c,c,3,3,6,J,J,1,1,0,2.486013986013986
r,rr,rr,rr,2,4,5,9,T,2,2,3,1.9513986013986013
c,c,c,c,2,7,8,8,Q,1,2,3,1.4982517482517483
c,c,r,c,3,6,9,9,J,1,2,0,2.317016317016317
c,c,rr,r,2,6,6,8,A,1,2,0,2.2564102564102564
c,c,c,c,3,5,6,K,A,1,2,0,0.9858934169278997
c,r,c,r,3,5,K,K,K,2,3,3,3.909090909090909
c,r,c,c,8,T,K,A,A,2,3,3,1.9965034965034965
c,r,c,r,7,9,T,T,A,1,2,3,2.423076923076923
c,c,r,c,3,3,5,J,K,1,2,0,1.1534965034965035
c,r,r,r,4,8,9,K,A,3,4,4,5.959279561472201
c,c,c,c,2,6,Q,Q,K,1,1,0,1.8461538461538463
c,r,c,c,2,2,3,4,A,1,1,0,2.0256410256410255
c,c,c,c,8,8,Q,A,A,2,2,0,2.9347319347319347
c,r,rr,rr,5,7,8,T,A,2,22,0,1.95
c,c,r,c,3,5,Q,Q,K,1,1,0,1.8269230769230769
c,c,c,c,4,5,9,Q,K,1,2,0,1.5185314685314686
c,c,c,c,3,6,7,8,Q,1,2,0,0.3181818181818182
c,c,c,r,6,8,J,J,A,1,2,0,2.5384615384615383
c,c,c,c,2,7,8,Q,A,2,2,0,1.456993006993007
c,c,c,c,J,J,J,K,A,2,2,0,3.769230769230769
c,r,r,rr,3,6,7,Q,Q,2,22,0,3.8403263403263406
c,r,c,c,2,2,3,5,7,1,2,0,1.072027972027972
c,r,rr,r,2,4,5,6,A,2,2,0,1.368881118881119
rr,rr,rr,rr,3,6,J,Q,A,1,1,0,3.768065268065268
c,r,c,r,2,3,5,6,T,1,2,0,1.6482517482517482
c,c,c,c,3,5,6,J,K,2,22,3,0.493730407523511
c,c,r,c,3,5,8,Q,A,1,2,0,1.833916083916084
c,c,c,r,2,5,7,8,K,2,22,0,1.2821678321678323
c,r,c,c,3,8,8,9,A,2,2,0,2.217948717948718
c,c,r,r,2,4,4,9,K,3,3,3,1.2307692307692308
c,c,c,c,2,2,7,Q,A,2,2,0,1.072027972027972
c,c,c,c,4,6,6,J,K,2,3,3,1.3615384615384616
r,r,r,rr,2,5,6,J,A,1,2,0,1.6846153846153846
c,rr,rr,rr,2,3,5,J,J,2,2,0,6.698717948717949
c,r,rr,c,4,6,7,9,Q,3,4,4,2.6107226107226107
c,c,c,c,5,5,6,T,A,1,2,0,2.41025641025641
c,c,c,c,2,3,5,6,7,3,3,3,0.08307210031347963
c,r,r,c,5,6,8,J,K,3,3,3,1.515034965034965
c,c,c,c,5,8,9,T,Q,2,22,0,1.5006993006993006
c,c,r,r,5,5,6,J,Q,2,2,0,3.3065268065268065
c,r,r,r,3,5,5,7,K,2,2,3,2.7494172494172493
c,c,c,c,4,5,7,8,8,2,22,0,1.5265734265734265
c,c,c,c,6,9,T,J,K,2,2,3,1.2083916083916084
rr,c,r,c,5,6,6,J,A,3,3,3,1.3846153846153846
c,r,c,r,2,5,8,9,Q,1,1,0,1.611188811188811
c,rr,c,rr,4,7,J,K,A,1,1,0,2.0
c,c,c,r,3,7,7,T,K,2,2,0,2.4347319347319347
c,r,c,rr,2,4,4,8,8,1,2,0,2.230769230769231
c,c,c,c,2,5,5,6,K,1,2,0,1.2825174825174825
c,r,r,c,7,7,8,J,A,1,2,0,1.4545454545454546
c,c,c,c,2,3,8,9,A,2,3,3,0.7092476489028213
c,rr,r,rr,2,3,8,Q,A,2,2,0,2.870629370629371
c,r,rr,r,J,Q,Q,K,A,2,3,3,5.592795614722005
c,r,c,c,2,9,J,Q,K,2,2,0,1.6153846153846154
c,c,c,c,3,4,6,9,Q,1,1,0,0.32523510971786834
c,r,r,c,3,4,7,J,K,1,2,0,0.9639498432601881
c,c,c,c,5,7,8,T,K,2,2,3,0.9318181818181818
c,c,c,c,3,6,9,Q,K,1,1,0,0.5556426332288401
r,rr,r,r,2,3,4,7,8,1,2,3,1.9346153846153846
c,c,c,c,4,9,9,Q,Q,2,2,0,2.6713286713286712
c,c,rr,c,2,4,J,Q,Q,2,22,0,2.5874125874125875
c,rr,rr,r,2,5,8,9,K,1,2,0,4.5
c,rr,r,c,4,6,7,9,Q,2,22,0,3.4347319347319347
c,c,c,c,2,4,5,7,K,1,1,0,1.122027972027972
c,c,r,c,4,7,J,K,A,2,2,0,1.2304195804195803
c,r,r,r,4,6,8,Q,A,2,3,4,2.8834498834498836
c,c,c,c,2,2,4,4,8,3,3,3,2.0256410256410255
c,rr,rr,r,6,8,9,A,A,2,22,3,3.984848484848485
c,r,r,rr,3,7,7,8,T,1,2,0,3.458041958041958
c,c,c,c,5,7,8,Q,Q,1,2,3,2.6235431235431235
c,c,c,c,4,7,9,T,J,2,2,3,0.3557993730407524
c,c,rr,r,2,2,5,6,7,1,2,0,2.184149184149184
c,c,r,c,7,9,9,T,Q,2,22,0,1.5958041958041957
c,r,c,c,3,9,T,J,K,2,2,0,0.9655172413793104
c,c,c,c,5,6,7,9,Q,2,2,3,0.3299373040752351
c,r,c,r,4,7,J,Q,K,2,22,0,1.7493006993006994
c,c,c,c,3,3,5,6,Q,1,1,0,1.1486013986013985
c,r,c,c,2,5,6,T,J,1,2,3,1.2594405594405593
c,c,r,c,2,Q,K,K,A,2,22,3,2.717948717948718
c,r,c,r,4,6,6,A,A,2,2,0,6.384615384615385
c,c,c,c,2,4,T,J,Q,2,2,3,0.3393416927899687
c,c,c,c,7,8,Q,Q,A,2,22,0,2.628205128205128
c,c,c,c,5,6,J,K,A,2,22,0,0.9976489028213166
c,c,c,c,5,8,T,A,A,2,2,0,1.9646853146853147
r,rr,r,rr,3,8,K,K,A,2,2,0,7.0
c,c,c,c,3,4,6,J,K,1,2,3,0.49764890282131663
c,c,c,c,2,3,5,K,A,2,2,3,0.9623824451410659
c,c,c,c,4,4,9,J,J,2,22,3,2.4976689976689976
c,c,c,c,3,8,9,Q,Q,2,2,0,1.7888111888111888
c,c,c,c,2,6,7,Q,A,2,2,0,0.8166144200626959
c,c,c,c,2,7,9,Q,K,1,1,0,1.2877622377622377
c,c,c,c,3,6,7,Q,A,1,2,0,0.8550156739811913
c,c,r,c,3,4,7,7,T,1,1,0,1.4576923076923076
c,c,c,c,2,3,5,7,K,1,1,0,1.893006993006993
c,r,r,rr,6,7,9,Q,A,2,22,0,1.8363636363636364
c,c,c,c,2,4,6,7,T,1,2,0,1.64020979020979
c,r,c,c,3,6,6,8,A,2,2,0,1.3706293706293706
c,r,r,c,7,7,9,T,Q,1,2,3,2.343822843822844
c,r,r,r,5,6,8,T,A,3,3,4,5.690681284259984
c,rr,rr,c,2,9,T,J,Q,2,2,0,2.5874125874125875
c,c,c,c,2,3,3,7,T,2,2,0,1.1440559440559441
c,r,r,c,3,5,8,T,A,3,3,3,1.9772727272727273
c,c,c,c,3,3,6,7,K,2,22,3,1.1241258741258742
c,c,c,c,5,6,6,7,A,2,2,0,1.3723776223776225
c,c,c,c,4,5,6,Q,Q,1,1,0,1.8412587412587413
c,c,c,c,5,6,Q,K,A,1,2,0,1.0
c,r,rr,c,4,6,J,Q,A,1,2,0,1.3041958041958042
c,c,c,r,2,2,7,7,A,1,2,0,2.141025641025641
c,rr,c,r,4,7,8,8,J,1,2,0,2.227272727272727
c,c,c,c,8,9,9,T,Q,1,2,0,1.5776223776223777
c,c,c,c,6,6,7,9,Q,2,2,0,1.3444055944055944
c,c,c,c,6,7,J,Q,K,1,2,0,0.5979623824451411
c,r,c,c,2,2,6,K,A,2,3,3,2.717948717948718
c,c,c,c,2,4,5,J,J,1,2,3,2.5093240093240095
c,c,c,c,3,7,7,J,Q,1,2,0,1.4265734265734267
c,r,r,r,2,4,9,9,J,2,22,0,1.615034965034965
c,c,c,c,3,4,4,7,A,1,2,0,1.2307692307692308
c,c,c,c,5,5,6,J,A,2,2,0,1.3
c,c,c,c,2,6,7,9,A,1,2,0,0.9106583072100314
c,c,c,c,2,2,6,9,A,1,2,3,1.065034965034965
c,c,c,c,8,8,8,K,A,2,2,0,3.5384615384615383
c,rr,c,c,2,5,7,9,J,2,2,0,1.0265734265734265
c,r,r,rr,2,5,5,Q,K,2,2,3,2.755244755244755
c,c,c,c,6,6,7,T,K,2,2,3,2.191142191142191
c,r,c,c,5,6,7,T,K,1,2,0,0.9318181818181818
c,c,c,c,3,5,T,K,A,2,2,0,2.7564102564102564
c,c,c,c,5,6,8,T,T,2,3,3,1.6828671328671327
c,c,r,c,2,3,5,8,9,2,2,0,2.0454545454545454
c,rr,r,c,2,6,9,J,K,1,2,0,1.5926573426573427
c,r,c,r,4,6,8,J,Q,2,3,3,1.8083916083916085
c,r,rr,rr,3,T,K,K,A,2,3,4,6.147435897435898
c,r,rr,rr,2,2,5,T,J,1,1,0,3.062937062937063
c,c,c,c,2,3,4,7,A,1,2,0,1.072027972027972
c,c,c,c,6,7,9,J,Q,2,2,0,1.0
c,c,c,c,2,3,4,7,9,2,3,4,5.078308535630383
c,c,c,c,3,6,8,T,Q,2,2,0,1.5
r,r,c,c,4,9,9,T,T,2,2,0,2.4592074592074593
c,c,c,c,4,7,8,J,A,2,3,3,0.859717868338558
c,c,c,c,4,5,9,J,A,2,2,0,0.75
c,c,c,c,2,3,4,7,8,2,2,0,1.1604895104895105
c,c,c,c,4,5,7,9,J,2,2,0,0.75
c,c,c,c,3,8,9,T,J,2,2,0,0.19122257053291536
c,c,c,c,5,8,8,J,K,1,2,0,1.5153846153846153
c,c,r,c,3,5,6,T,K,2,2,0,0.4263322884012539
c,c,r,c,3,7,T,T,K,2,2,3,2.4347319347319347
r,c,r,r,3,4,6,K,K,2,3,3,1.9153846153846152
c,r,rr,r,3,6,7,8,J,3,3,3,5.6389976507439314
c,c,r,c,4,6,7,8,8,2,22,0,1.5286713286713287
c,r,c,c,2,3,5,6,8,2,3,3,0.6912225705329154
c,c,c,rr,2,3,6,Q,Q,2,22,0,2.6363636363636362
c,r,r,c,7,7,9,T,K,1,2,0,1.4608391608391609
c,r,r,c,2,5,8,9,K,1,2,0,1.356993006993007
rr,r,c,r,4,4,5,7,9,1,2,0,2.01981351981352
c,c,c,c,2,6,6,9,A,2,2,0,1.3842657342657343
c,r,c,r,4,7,9,9,T,2,2,0,2.458041958041958
c,c,c,c,2,4,8,Q,K,1,2,0,0.9992163009404389
c,rr,r,c,2,4,5,K,A,2,2,3,2.8974358974358974
c,c,c,c,3,5,6,9,K,2,2,0,0.4537617554858934
r,c,c,r,3,6,7,8,J,2,2,0,1.7192307692307693
c,r,c,c,3,5,9,T,A,2,2,0,1.6115384615384616
c,c,c,c,2,3,6,8,9,2,2,3,0.2421630094043887
c,r,rr,r,3,5,9,K,A,2,2,3,1.919230769230769
c,r,r,r,2,5,5,6,K,2,22,3,2.752913752913753
c,c,c,c,2,5,6,8,A,1,2,0,0.7351097178683386
c,r,c,c,5,9,J,Q,K,2,2,3,1.5961538461538463
c,c,c,c,5,7,8,8,T,2,2,0,1.4786713286713287
c,r,c,rr,6,8,8,9,J,2,2,0,2.2564102564102564
c,r,r,c,4,6,8,J,K,2,2,0,1.5157342657342658
c,r,r,c,3,4,6,6,A,1,2,0,1.381118881118881
c,c,c,c,6,7,8,T,J,1,2,0,0.7719435736677116
c,r,r,c,4,8,9,9,J,1,2,3,2.3053613053613056
r,rr,r,c,6,7,8,J,K,2,3,3,1.9958041958041957
c,c,c,c,2,3,4,7,9,1,2,0,0.3981191222570533
r,r,r,c,6,7,J,J,Q,1,2,0,1.75
r,c,c,c,2,4,5,7,A,1,1,0,1.9087412587412587
c,c,c,c,5,7,8,Q,A,2,2,3,1.841958041958042
c,rr,c,r,4,4,7,9,T,2,2,0,2.1666666666666665
c,c,c,c,3,4,4,5,K,1,2,3,1.2293706293706295
c,c,c,c,2,4,8,J,A,1,2,0,0.7351097178683386
c,c,rr,c,5,6,6,8,8,2,22,3,6.269230769230769
c,c,c,c,4,7,8,J,Q,1,1,0,0.3346394984326019
c,c,c,c,2,6,7,T,K,2,2,0,0.4498432601880878
c,c,c,c,2,7,7,8,Q,2,3,3,1.4185314685314685
c,rr,rr,r,3,Q,Q,K,A,2,3,3,2.9871794871794872
c,r,c,r,3,5,6,A,A,2,2,0,2.8904428904428903
c,c,c,c,3,5,9,Q,K,2,2,0,0.987460815047022
r,rr,r,rr,2,4,7,Q,Q,2,22,0,3.808857808857809
c,c,c,c,2,2,7,8,A,1,1,0,1.0755244755244755
c,r,c,c,2,3,8,9,A,3,3,4,5.236491777603759
c,r,c,c,7,7,8,T,J,1,2,0,1.4548951048951049
c,c,c,c,2,3,6,6,A,2,2,0,2.1025641025641026
c,rr,c,r,3,4,9,T,K,1,2,3,1.593006993006993
c,c,c,c,5,5,8,T,A,1,2,0,1.3010489510489511
c,rr,r,rr,2,4,6,6,7,1,1,0,2.3263403263403264
c,c,c,c,4,6,8,9,K,1,2,0,0.6081504702194357
c,rr,c,c,2,4,8,8,Q,2,22,0,2.2051282051282053
c,rr,r,r,3,4,9,A,A,2,2,0,2.8834498834498836
c,r,rr,r,3,7,9,J,A,2,22,3,1.7685314685314686
c,c,c,c,2,7,7,7,9,1,2,0,3.4615384615384617
c,c,c,c,2,3,4,4,6,2,22,0,1.2164335664335664
c,rr,rr,rr,2,5,7,7,9,2,2,0,6.262820512820513
rr,rr,rr,c,2,3,5,5,9,1,2,0,2.4055944055944054
c,c,c,c,2,4,9,J,K,2,22,0,0.4898119122257053
c,rr,c,c,6,7,8,T,A,2,2,3,1.6853146853146854
c,c,c,c,3,9,9,T,Q,2,2,3,2.2925407925407923
c,c,c,c,4,6,7,9,Q,2,22,3,0.8213166144200627
c,r,rr,rr,2,4,5,6,9,2,3,3,5.2278778386844165
c,r,r,r,2,4,5,7,K,2,2,3,1.2758741258741257
c,r,r,c,4,7,8,T,Q,3,3,3,1.7986013986013987
c,c,r,c,3,5,8,T,Q,3,3,3,1.5003496503496505
c,c,c,c,2,4,T,Q,K,1,2,0,0.5760188087774295
c,c,c,r,2,4,T,A,A,2,2,0,1.9965034965034965
c,c,c,r,3,4,5,6,J,1,2,3,4.3
c,c,c,c,7,7,T,J,K,1,2,0,1.4391608391608393
c,c,c,c,6,7,9,J,Q,2,3,3,0.3346394984326019
c,c,c,c,3,4,5,7,8,2,22,3,0.8981191222570533
c,c,c,c,3,4,4,6,7,2,2,0,1.2230769230769232
c,c,c,c,3,4,T,K,K,2,2,0,1.8755244755244755
c,c,c,c,2,3,4,7,K,2,3,3,0.5086206896551724
c,c,r,rr,2,3,4,Q,K,2,2,0,1.8437062937062936
c,r,rr,c,7,9,T,J,K,2,3,3,1.66993006993007
c,r,r,rr,3,6,8,T,A,1,2,0,2.2564102564102564
c,c,c,c,2,3,6,9,T,3,3,3,1.5559440559440558
c,rr,rr,rr,4,7,7,9,A,1,2,3,3.4603729603729603
c,r,r,rr,3,5,K,A,A,1,2,3,2.8974358974358974
c,c,r,c,7,8,9,T,J,2,2,0,4.7
c,c,c,c,2,3,8,8,A,2,3,3,1.5255244755244757
c,c,c,c,2,5,6,8,T,1,1,0,0.17633228840125392
c,c,c,c,8,9,T,K,K,1,2,3,2.804195804195804
c,c,c,c,4,8,8,T,J,2,22,3,2.252913752913753
c,c,c,c,4,5,J,K,A,1,1,0,0.9647335423197492
c,r,c,c,2,2,3,9,Q,1,2,0,2.0104895104895104
c,rr,r,c,2,2,4,6,9,2,3,3,2.0839160839160837
c,c,c,c,3,7,9,J,Q,3,4,5,5.3281127642913075
rr,c,c,c,3,4,5,9,Q,1,1,0,0.3542319749216301
r,r,c,c,4,6,6,9,Q,2,3,3,2.0874125874125875
c,rr,c,r,3,9,T,T,J,1,2,3,1.6856643356643357
c,c,c,c,2,2,5,5,Q,1,2,3,2.0489510489510487
c,r,r,rr,8,8,T,J,Q,2,2,0,2.664335664335664
r,rr,rr,rr,9,T,J,K,A,1,2,0,5.0
c,r,c,r,6,T,J,J,Q,3,3,3,2.5745920745920747
c,c,c,c,6,7,8,K,K,2,2,3,1.9111888111888113
c,c,c,c,3,3,6,8,9,1,1,0,1.0965034965034965
c,c,r,rr,6,7,J,J,A,2,2,0,2.9685314685314683
c,r,rr,c,5,6,8,8,K,3,3,3,2.242424242424242
c,c,c,c,2,5,7,9,J,2,2,0,0.493730407523511
c,c,c,c,4,7,J,Q,A,1,2,0,0.8714733542319749
c,r,r,rr,2,4,8,J,Q,1,2,3,4.8
c,r,r,c,4,4,6,K,A,2,3,3,2.8846153846153846
c,r,c,c,4,5,6,8,K,2,3,4,5.374314800313234
c,r,c,r,4,5,9,T,K,2,2,0,1.2825174825174825
c,c,c,c,2,4,4,8,T,2,2,0,1.170979020979021
c,c,r,r,2,2,3,8,9,3,3,4,5.034455755677369
c,c,c,c,5,7,T,K,K,1,1,0,1.9038461538461537
c,r,r,rr,2,2,4,J,A,2,2,0,3.0745920745920747
c,rr,r,r,3,3,6,7,8,2,2,0,2.210955710955711
c,rr,r,rr,2,7,J,Q,K,1,2,0,3.448717948717949
c,c,r,rr,5,6,6,T,T,1,2,3,5.7032106499608455
c,c,c,c,2,4,8,9,K,2,22,3,0.9153605015673981
c,c,c,r,3,3,5,6,9,2,22,3,2.097902097902098
c,r,r,c,2,2,8,Q,Q,1,2,0,2.58974358974359
c,c,c,c,3,6,8,J,K,1,1,0,0.48197492163009403
c,c,c,c,4,7,8,9,K,2,2,0,0.4098746081504702
c,r,r,rr,3,3,5,9,J,1,2,0,3.129370629370629
c,r,r,c,2,8,T,J,K,2,3,3,1.1314685314685315
c,rr,rr,rr,3,3,3,5,7,1,1,0,7.108974358974359
c,rr,r,r,3,4,8,9,T,2,22,3,1.48006993006993
c,c,c,r,2,5,5,6,8,2,3,3,2.2412587412587412
c,c,c,c,4,6,7,J,A,2,3,3,1.9597902097902098
c,rr,rr,rr,2,5,6,7,7,2,2,0,4.3
c,r,r,c,5,5,Q,K,A,2,2,0,2.628205128205128
c,c,c,c,3,3,5,Q,A,2,2,3,1.1538461538461537
r,c,c,c,4,4,5,6,9,2,22,3,1.2297202797202798
c,c,rr,c,2,8,Q,K,A,2,2,3,1.8451048951048952
rr,c,r,r,2,3,5,6,A,2,2,0,1.8304195804195804
c,rr,rr,r,4,4,T,J,A,3,3,3,5.774471417384495
c,c,c,c,4,8,J,J,K,1,2,0,2.4988344988344986
c,c,r,c,2,3,9,K,K,2,2,3,1.9223776223776223
c,rr,c,c,3,3,5,8,9,2,2,0,2.289044289044289
c,r,c,c,3,7,8,T,A,2,22,3,1.5318181818181817
c,r,rr,r,5,6,J,Q,K,1,2,0,2.1270396270396272
c,c,r,c,5,6,9,9,A,1,2,0,1.6153846153846154
c,c,c,c,2,4,6,7,K,2,22,0,0.3981191222570533
c,c,r,c,8,T,J,K,K,3,3,3,2.8181818181818183
c,c,r,c,3,5,T,J,K,1,1,0,1.8874125874125873
rr,rr,c,c,2,5,8,8,A,1,2,3,2.935897435897436
c,c,rr,c,2,2,5,9,K,1,2,0,2.05011655011655
c,c,r,c,8,9,T,T,A,2,22,3,2.448717948717949
c,c,c,c,4,7,9,9,T,3,4,4,1.5772727272727272
r,rr,c,rr,2,5,Q,Q,A,1,1,0,2.9871794871794872
c,r,c,c,9,T,J,K,A,1,1,0,2.8076923076923075
c,c,c,c,2,5,6,7,8,1,2,0,0.17633228840125392
c,r,c,c,6,8,J,Q,A,1,2,0,1.381118881118881
c,c,c,c,2,6,6,6,9,1,2,0,3.3694638694638694
r,c,rr,rr,6,8,8,T,J,2,3,3,6.737179487179487
c,c,c,c,2,Q,Q,K,A,1,2,0,1.8454545454545455
c,c,c,c,3,9,T,J,K,3,3,3,0.5195924764890282
rr,rr,r,c,2,5,6,7,8,1,2,0,1.7045454545454546
r,r,rr,rr,3,7,9,9,A,2,2,0,2.564102564102564
c,c,c,c,5,7,J,Q,K,2,3,3,0.6128526645768025
c,rr,r,r,4,5,7,9,J,2,3,3,1.4111888111888111
c,c,c,c,3,3,4,4,J,1,1,0,2.0372960372960374
c,c,c,c,2,6,9,T,Q,1,2,0,0.28213166144200624
c,c,c,c,6,6,8,9,J,2,2,0,1.3493006993006993
c,r,c,c,4,5,8,Q,A,2,3,4,1.226923076923077
c,c,c,c,5,J,Q,A,A,2,22,3,1.9793706293706292
c,rr,r,r,2,T,T,J,A,2,2,3,2.9592074592074593
r,r,r,c,2,4,4,8,A,2,2,0,1.23006993006993
c,c,c,c,2,7,8,9,Q,1,1,0,0.987460815047022
c,r,c,c,6,T,J,J,K,2,2,0,2.486013986013986
c,rr,rr,r,2,2,3,6,9,2,2,0,3.05011655011655
c,c,c,c,2,3,3,6,7,2,22,0,1.0944055944055944
