@RELATION SimpleBotHROM
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_rank NUMERIC
@DATA
c,c,c,c,2,6,9,J,Q,2,22,3,1395
c,c,c,c,3,6,8,J,J,2,2,0,3291
c,c,c,c,3,8,9,9,Q,2,2,0,2919
c,c,c,c,3,6,6,7,8,2,2,0,2318
c,c,c,c,5,7,7,8,K,2,22,0,2532
c,r,r,c,2,T,Q,Q,A,2,2,0,3695
c,c,c,c,5,5,6,T,Q,2,2,3,2046
c,c,c,c,4,5,T,Q,K,3,3,3,746
c,c,c,c,5,9,T,K,K,2,22,3,3777
c,c,c,c,4,5,6,7,9,1,2,0,1162
c,c,c,c,3,4,5,6,Q,2,3,3,2096
c,c,c,c,5,7,9,J,K,2,3,3,1224
c,c,c,c,7,8,Q,Q,A,1,2,0,3695
c,c,c,c,4,6,7,7,T,2,2,0,2577
c,c,c,c,2,3,T,J,Q,3,3,3,437
c,c,c,c,2,3,4,6,K,2,2,0,1205
c,c,c,c,2,3,5,6,A,3,3,3,974
c,c,c,c,2,8,8,K,K,1,1,0,4814
r,c,r,c,3,6,7,Q,K,2,2,0,1274
c,c,r,c,7,7,9,J,Q,2,2,0,4433
c,c,r,c,4,5,7,7,K,2,3,4,6325
c,c,c,c,2,4,8,9,A,2,3,3,1047
c,c,c,c,6,6,8,J,Q,1,2,3,4356
c,r,c,c,4,7,9,Q,A,2,2,0,2364
c,r,c,c,5,6,7,J,K,1,2,3,2970
c,c,c,c,3,4,4,5,8,1,2,0,1849
c,rr,rr,rr,7,8,Q,K,A,3,3,3,6673
c,c,c,c,5,6,7,7,9,2,2,3,2495
c,rr,c,c,2,3,4,9,J,1,2,0,3300
c,c,c,c,2,4,6,7,J,2,3,3,979
c,c,c,c,6,T,T,Q,K,1,1,0,3200
rr,rr,c,c,4,4,5,T,K,2,22,0,1935
c,c,c,c,2,5,6,7,A,2,2,3,902
c,c,c,c,3,3,4,7,8,1,2,0,1650
c,c,c,c,4,8,T,J,A,2,3,4,3236
c,c,c,c,4,5,9,Q,K,2,22,3,745
c,c,c,c,2,2,3,7,A,1,1,0,1467
r,r,c,c,6,8,9,T,K,3,3,4,1196
c,c,c,c,2,5,6,7,A,1,2,0,1027
c,c,c,c,8,8,J,J,Q,2,2,0,4608
c,c,c,c,4,7,7,J,Q,2,2,3,2492
c,c,c,c,3,4,8,J,K,2,22,0,634
c,rr,r,c,2,3,5,J,K,1,2,3,3901
c,c,c,c,2,5,T,Q,K,2,2,0,780
c,c,c,c,2,3,7,9,9,2,3,3,2957
c,r,rr,c,3,6,8,9,T,1,2,3,2964
c,r,c,rr,4,6,7,Q,A,2,22,0,4051
c,c,c,c,4,4,7,7,A,2,2,0,4279
c,c,r,c,8,9,T,Q,A,2,3,3,1268
c,rr,c,c,4,4,7,8,9,2,2,0,4333
c,rr,c,c,5,7,8,T,J,2,2,3,1111
c,r,c,c,3,4,5,9,A,1,2,3,3000
c,c,c,c,7,9,T,Q,K,2,2,0,4806
c,r,r,rr,6,7,Q,K,A,2,3,3,4134
c,r,r,rr,7,7,8,K,A,2,2,0,4928
c,c,c,c,2,3,3,7,9,1,1,0,1615
c,c,c,c,6,6,7,8,J,1,1,0,2239
c,r,r,c,2,5,9,Q,A,2,22,0,2584
c,c,c,c,2,6,8,J,Q,2,3,3,401
rr,r,c,c,4,6,9,T,A,2,2,0,3237
r,r,c,c,4,5,9,J,Q,1,1,0,3420
rr,rr,r,rr,4,5,7,T,A,2,22,3,6871
c,r,r,c,5,6,9,T,K,2,3,3,2312
c,c,c,c,6,6,9,T,Q,2,2,0,2320
c,c,r,r,4,4,4,7,9,2,2,0,5188
c,rr,c,c,2,6,6,Q,A,2,2,0,2376
c,c,c,c,2,4,4,9,T,1,2,0,1864
c,c,c,c,7,8,T,J,Q,1,2,0,448
c,c,c,c,4,6,8,J,Q,2,2,3,3464
c,c,c,r,3,5,Q,Q,K,1,2,3,4685
c,c,c,c,3,6,7,T,J,1,2,0,2532
c,rr,c,r,3,5,T,Q,A,2,22,3,1706
c,c,c,c,5,7,7,8,8,2,2,0,4365
c,r,c,c,2,3,5,K,A,2,22,3,3893
c,r,r,rr,3,K,K,A,A,2,2,0,7283
c,rr,r,c,2,8,J,Q,A,2,2,3,1926
c,c,r,c,3,5,6,8,Q,1,2,0,1703
