@RELATION SimpleHROppModel
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_rank NUMERIC
@DATA
c,c,rr,r,7,K,A,5,9,2,2,0,3888
c,c,c,c,A,K,T,2,7,1,2,0,1230
c,r,c,r,9,2,6,K,5,1,2,0,2516
c,c,c,c,3,2,5,Q,J,1,1,0,3592
c,r,c,c,Q,J,9,2,5,2,2,0,2715
c,c,r,r,7,5,9,3,4,2,2,0,5855
r,c,r,c,7,9,2,T,6,2,22,3,3119
c,c,c,c,Q,2,K,A,Q,1,2,0,3690
c,c,r,c,4,A,J,7,4,1,2,0,4565
rr,r,c,r,7,6,Q,6,T,2,2,0,2365
c,c,r,r,A,2,4,3,T,1,1,0,1263
c,rr,rr,r,7,K,8,J,7,1,2,0,7205
c,c,c,c,5,5,T,2,7,1,1,0,2084
c,rr,r,rr,3,5,6,5,4,1,2,3,5854
c,r,rr,r,4,7,5,Q,8,2,3,4,6169
c,c,c,r,4,Q,6,5,6,3,3,3,4684
c,c,c,c,5,4,T,T,9,1,2,3,3254
c,rr,c,rr,K,9,T,5,4,2,22,0,3254
c,rr,rr,r,7,K,Q,Q,2,2,2,0,4861
c,c,c,c,A,8,3,J,Q,2,22,3,2806
r,c,rr,r,5,8,6,T,4,1,1,0,3140
c,c,c,rr,7,J,3,K,8,1,2,0,4366
c,r,r,r,K,A,4,3,K,1,2,0,4987
c,c,r,c,Q,8,7,J,8,1,2,0,2816
c,r,r,r,5,T,A,2,4,3,3,3,2137
c,c,rr,c,J,Q,3,4,2,3,3,3,5171
rr,r,r,c,7,2,K,3,7,2,2,0,7144
c,r,r,r,8,2,3,8,J,2,2,0,7157
c,r,r,c,7,8,6,A,5,2,2,0,2336
c,r,r,r,K,A,7,J,2,2,2,3,3903
c,r,r,c,5,3,6,K,8,2,3,4,3731
c,c,r,c,K,A,T,8,4,1,1,0,2594
c,c,c,c,8,7,Q,2,A,2,22,3,1111
c,rr,r,rr,6,T,3,8,K,2,22,0,3896
c,r,r,r,5,3,4,T,4,1,1,0,4396
c,c,c,c,T,K,A,9,3,2,2,0,3034
c,c,c,c,5,5,4,7,T,1,2,0,2092
r,r,rr,r,T,A,T,Q,3,1,1,0,4961
c,r,r,r,A,6,Q,8,3,1,1,0,3024
c,c,c,c,9,K,9,J,J,1,1,0,4619
c,rr,r,c,9,5,6,4,T,1,2,0,2210
c,r,c,rr,3,A,7,2,K,1,2,0,3912
c,rr,r,r,T,3,7,6,A,1,2,0,5123
c,r,r,r,8,2,K,9,A,2,2,3,2593
