@RELATION SimpleHROppModel
@ATTRIBUTE times_raised_preflop NUMERIC
@ATTRIBUTE times_called_preflop NUMERIC
@ATTRIBUTE times_raised_flop NUMERIC
@ATTRIBUTE times_called_flop NUMERIC
@ATTRIBUTE times_raised_turn NUMERIC
@ATTRIBUTE times_called_turn NUMERIC
@ATTRIBUTE times_raised_river NUMERIC
@ATTRIBUTE times_called_river NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_1_suit {h,d,s,c}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_suit {h,d,s,c}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_suit {h,d,s,c}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_suit {h,d,s,c}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_suit {h,d,s,c}
@ATTRIBUTE hand_rank NUMERIC
@DATA
0,1,0,1,1,1,1,0,8,d,8,c,T,c,5,c,J,s,4608
0,1,0,2,0,2,0,1,T,c,J,c,7,d,J,s,7,s,4595
0,1,0,1,0,1,1,0,4,d,A,s,J,d,A,h,5,h,4926
0,2,1,0,1,1,1,0,Q,h,9,d,K,h,7,d,8,d,3852
0,1,1,0,0,1,0,1,T,d,3,d,T,s,J,s,6,s,3190
0,2,0,1,0,1,1,1,K,d,8,s,5,h,7,c,2,d,2291
0,1,0,1,1,0,2,0,5,s,J,c,4,c,6,h,8,s,5856
0,1,1,0,1,0,1,0,2,h,K,s,7,d,J,s,Q,d,3859
0,1,2,0,2,0,1,1,9,h,2,s,8,h,6,h,3,c,2631
0,1,0,1,1,2,2,1,8,s,3,d,J,d,9,d,7,c,2971
0,1,1,1,2,1,0,1,5,c,A,h,A,s,3,h,2,c,4903
0,1,1,1,0,1,0,1,J,h,A,h,6,s,8,h,K,s,2375
0,1,1,1,0,1,0,1,4,c,6,d,4,h,9,c,8,d,4333
0,1,1,0,1,1,1,1,2,s,7,c,6,h,9,c,5,s,2866
0,1,1,1,2,1,0,1,4,h,4,c,K,h,2,d,A,h,4895
0,1,0,1,1,1,1,0,9,h,Q,c,7,s,6,c,2,d,2927
0,1,2,1,2,1,0,2,J,h,Q,c,7,c,8,h,A,c,3476
0,1,2,0,1,0,1,0,2,d,6,s,3,s,2,s,4,c,7188
0,1,0,1,0,1,1,1,6,d,4,d,8,h,2,h,8,c,2667
0,1,3,0,1,1,1,1,Q,c,6,d,4,h,3,h,Q,h,4668
0,1,0,1,0,1,1,1,7,h,Q,c,J,c,J,d,2,s,4596
0,1,1,0,1,0,1,0,6,h,8,d,4,h,Q,h,4,d,4332
0,1,0,1,0,1,0,1,7,c,4,c,4,h,A,d,5,h,1926
0,1,2,1,1,2,0,2,7,d,J,d,8,d,5,c,A,c,2575
0,1,0,2,1,1,0,2,4,d,3,d,T,s,2,h,8,d,1607
0,1,1,0,0,1,1,0,T,d,2,c,4,c,2,s,Q,h,4156
0,1,1,0,1,0,0,2,T,d,4,c,5,d,3,d,A,d,4954
2,0,1,0,1,1,2,1,A,d,Q,h,T,c,3,c,4,h,3466
0,1,1,0,2,0,1,0,A,d,K,h,9,h,5,d,2,d,4106
0,1,2,0,2,0,2,0,K,d,9,h,J,s,5,d,6,s,4619
0,2,1,1,2,0,0,1,3,c,J,d,3,d,J,s,T,d,4554
0,1,1,0,1,0,0,1,Q,c,2,h,2,c,4,c,5,d,4211
0,1,1,1,1,0,1,1,9,c,T,h,A,h,5,h,3,d,3226
0,1,0,1,1,0,1,0,A,h,2,h,K,h,4,h,9,c,7033
0,1,0,1,1,1,0,1,5,c,K,s,K,h,2,h,6,s,3857
0,1,1,0,2,0,1,0,2,d,K,c,K,s,3,d,J,c,4750
0,1,2,0,1,0,1,0,2,s,3,h,4,h,9,d,8,d,5853
0,1,1,1,0,2,1,2,J,s,5,s,3,s,Q,d,9,h,2934
0,2,2,0,1,0,1,1,A,s,J,h,5,s,2,s,K,d,4972
0,1,1,1,1,0,1,0,2,d,A,s,J,c,5,s,9,d,4080
0,1,0,1,0,1,0,1,9,s,5,c,K,h,3,d,5,s,2077
0,1,1,0,2,0,0,2,A,d,5,h,6,h,2,h,J,s,1693
0,1,0,1,0,1,0,1,3,c,7,c,9,d,5,c,K,d,574
0,1,0,1,0,1,0,1,3,c,5,c,4,c,2,s,K,h,642
0,1,1,0,0,1,0,1,5,h,7,h,K,c,4,c,J,d,1217
0,1,2,0,3,0,1,1,A,c,2,d,Q,h,6,h,J,h,4872
0,1,0,1,0,2,0,1,3,d,A,d,3,c,6,h,K,c,4224
0,1,2,1,1,1,2,1,T,d,A,d,4,s,4,d,T,c,4958
0,1,1,0,2,0,1,0,5,c,A,d,4,h,A,c,T,c,5850
0,1,0,1,0,1,0,1,5,s,7,h,8,h,K,s,3,s,614
0,1,1,0,0,1,0,2,J,s,J,h,6,h,9,c,A,d,4587
0,1,0,1,1,1,0,1,7,s,5,h,T,s,7,h,A,c,2596
0,1,0,1,0,1,0,1,6,s,6,d,2,h,4,c,8,h,4350
0,1,1,0,1,0,1,1,Q,c,4,h,4,s,5,s,2,d,4332
2,0,2,0,1,1,1,0,2,d,2,h,5,h,K,d,Q,h,4454
0,1,2,0,0,1,0,2,9,h,Q,c,5,h,J,h,T,s,3596
0,1,0,1,1,0,0,1,J,c,4,d,7,c,8,s,Q,h,1097
0,1,1,0,1,0,2,0,3,h,3,s,7,s,A,h,J,d,5124
0,1,1,1,0,1,0,1,3,s,3,d,4,c,T,h,Q,c,1608
0,1,2,0,1,0,3,0,J,s,4,s,8,h,K,c,6,d,5180
0,1,0,1,0,1,0,1,8,d,A,c,7,s,4,s,K,h,1168
1,0,0,1,1,1,1,0,J,d,7,c,5,h,4,h,3,s,3106
