@RELATION SimpleHROppModel
@ATTRIBUTE times_raised_preflop NUMERIC
@ATTRIBUTE times_called_preflop NUMERIC
@ATTRIBUTE times_raised_flop NUMERIC
@ATTRIBUTE times_called_flop NUMERIC
@ATTRIBUTE times_raised_turn NUMERIC
@ATTRIBUTE times_called_turn NUMERIC
@ATTRIBUTE times_raised_river NUMERIC
@ATTRIBUTE times_called_river NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_1_suit {h,d,s,c}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_suit {h,d,s,c}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_suit {h,d,s,c}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_suit {h,d,s,c}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_suit {h,d,s,c}
@ATTRIBUTE hand_rank NUMERIC
@DATA
0,1,0,1,0,1,0,1,3,d,K,s,8,d,J,d,8,s,2761
0,1,0,1,0,1,0,1,4,d,9,h,8,c,7,c,K,d,3844
1,0,1,1,1,0,0,1,K,h,3,d,Q,h,8,d,5,d,1275
0,1,2,0,1,0,0,1,K,d,7,c,2,d,T,c,8,d,4749
0,2,1,1,0,1,0,1,7,d,9,c,6,d,6,s,7,h,4301
0,1,1,0,1,2,1,0,8,c,8,d,K,d,5,c,6,c,7193
0,1,2,0,1,1,0,1,5,c,J,s,5,d,K,s,2,c,2155
0,1,1,1,0,2,0,1,5,s,4,c,3,h,K,h,4,d,4168
0,1,1,1,1,1,0,1,J,d,8,c,A,c,3,d,6,s,1097
0,1,1,0,0,2,1,0,Q,c,2,h,6,c,K,d,K,s,4795
0,1,1,0,0,1,0,1,3,h,2,c,Q,c,K,s,J,d,2541
0,1,1,1,1,1,1,0,A,c,K,s,9,s,5,h,8,d,4109
0,1,1,1,0,1,0,1,K,h,3,h,7,d,J,c,6,c,1649
0,1,1,1,1,1,0,1,5,h,Q,s,3,d,4,s,7,c,2694
0,1,2,0,1,1,1,0,6,d,Q,s,4,s,Q,h,T,s,4694
1,0,1,0,1,0,2,1,J,c,8,c,T,d,J,d,4,h,4970
0,1,2,1,1,0,2,0,2,d,T,c,5,c,8,s,4,d,2205
0,1,0,1,1,1,0,1,6,s,Q,h,A,h,8,h,3,s,2363
0,1,1,2,0,2,0,2,5,c,6,c,3,s,3,d,K,c,1714
0,1,1,0,1,0,0,1,J,c,A,c,T,c,4,c,Q,s,5862
0,1,1,1,0,1,0,1,3,d,J,d,3,c,T,h,8,c,4265
0,1,1,0,1,0,1,1,4,s,5,d,9,s,9,d,Q,d,4420
0,1,0,1,0,1,0,1,T,s,7,d,5,d,Q,h,3,d,734
0,1,2,0,0,2,1,1,A,d,Q,c,T,d,3,d,3,h,4653
0,1,2,1,1,0,1,1,6,c,Q,s,J,s,9,s,7,h,6316
0,1,0,1,0,1,0,1,3,d,K,h,8,d,2,h,T,d,657
0,1,2,0,1,0,1,0,2,d,9,c,9,d,7,d,6,s,5490
0,1,2,0,1,0,0,1,4,d,3,d,Q,h,K,d,6,h,3637
0,1,2,0,2,0,0,1,5,c,8,d,3,d,7,s,4,c,2071
0,1,0,1,1,0,0,1,6,c,Q,h,J,c,J,s,2,d,3476
0,1,2,0,3,0,2,0,6,h,3,c,A,c,T,s,3,s,4881
1,0,0,1,0,1,0,1,2,h,T,s,K,d,6,h,7,d,3190
0,1,1,1,1,0,1,0,7,c,8,d,6,d,T,c,Q,c,6604
0,1,0,2,1,1,0,2,T,c,3,c,A,s,5,s,T,d,4466
0,1,0,1,0,1,0,1,6,h,5,c,8,h,J,h,5,s,2101
0,1,1,0,1,0,1,0,J,s,2,d,8,d,Q,h,A,d,5455
1,0,3,0,3,0,0,2,6,s,T,h,J,s,7,s,3,s,3235
0,1,0,1,2,0,1,0,7,h,9,c,2,c,Q,h,3,d,3668
0,1,1,0,1,1,1,0,2,d,J,d,Q,s,8,h,6,c,3580
0,1,1,0,0,2,1,0,J,h,J,c,4,d,A,s,Q,s,4565
0,1,1,1,0,1,0,1,K,h,A,c,A,d,6,c,9,h,4134
0,1,0,1,0,1,0,1,2,h,K,s,7,h,9,s,Q,h,1268
0,1,1,0,0,1,1,0,9,d,T,s,4,d,9,c,6,d,7194
0,1,3,0,1,0,1,1,K,s,K,d,T,h,A,d,K,h,7280
0,2,1,0,2,0,2,0,A,h,6,d,T,s,T,d,8,h,5588
1,0,1,0,1,0,0,1,K,s,6,c,J,h,2,d,8,s,3411
0,1,0,1,1,1,1,1,9,s,T,h,7,s,7,c,Q,h,4277
0,1,2,0,2,1,1,0,K,s,3,h,J,d,K,d,3,c,7273
0,1,1,1,1,1,0,1,T,d,2,d,2,h,2,s,8,h,7147
0,1,0,1,2,0,1,0,9,d,K,s,4,h,9,h,5,h,5509
0,1,1,0,1,1,2,1,5,c,3,h,T,c,A,c,6,s,3211
1,0,0,1,0,1,0,1,2,d,4,h,8,d,3,s,6,d,1141
0,1,1,0,1,0,0,1,3,d,6,d,J,h,2,d,K,c,4542
1,0,0,1,0,1,0,1,J,s,T,s,8,h,A,h,2,s,3255
0,1,0,1,0,1,0,1,4,h,8,d,5,s,3,d,5,c,2090
0,1,0,1,0,1,0,1,9,c,K,c,9,h,7,d,8,h,2957
0,1,1,0,0,1,0,1,5,s,Q,s,J,s,8,c,K,d,3419
0,1,0,1,0,1,0,1,A,h,5,d,3,h,4,h,A,s,4882
0,1,0,1,0,1,0,1,9,d,7,h,8,c,T,s,A,s,1909
0,1,0,1,1,0,1,0,5,d,T,c,7,h,A,h,4,s,3987
0,1,0,1,1,0,0,1,4,d,Q,s,8,s,3,h,A,h,1703
0,1,1,1,0,1,0,1,J,h,2,c,5,h,2,s,2,h,5058
0,1,0,1,1,0,2,0,5,d,T,c,K,d,A,d,8,d,7123
0,1,1,0,0,1,1,1,Q,h,4,d,2,d,3,h,A,h,3680
0,1,0,1,0,1,0,1,K,c,3,d,9,s,3,s,9,h,4389
0,1,2,0,1,0,1,0,4,s,3,c,8,d,4,d,A,h,4334
0,1,1,0,2,0,1,0,A,c,9,d,J,h,6,s,K,d,5522
0,1,1,1,0,1,1,0,Q,d,5,d,8,d,T,c,6,s,3141
0,1,0,1,2,0,1,0,3,d,A,d,K,d,7,c,T,c,3895
0,1,0,1,0,1,0,1,9,d,J,c,T,s,Q,h,A,h,1112
0,1,0,1,0,1,0,1,6,c,Q,c,7,h,K,h,7,d,2538
0,1,1,1,0,1,0,1,9,d,K,s,4,d,A,s,9,c,4389
0,1,1,0,1,1,0,1,T,c,J,c,7,d,9,s,2,c,5859
2,0,0,2,1,0,2,1,K,d,A,c,T,d,2,s,9,h,5060
0,1,0,1,1,1,1,0,T,c,K,s,J,s,8,h,T,s,4630
0,1,1,1,0,1,0,1,6,h,5,c,8,h,Q,s,K,s,3913
0,1,0,1,0,1,0,1,4,s,8,c,7,h,8,s,6,h,2812
0,1,0,2,3,0,0,2,A,h,T,h,T,s,9,d,6,c,4961
0,1,1,1,2,0,1,0,8,c,K,h,3,c,A,d,2,h,4133
0,1,1,0,1,0,2,0,J,s,A,c,4,c,K,c,A,h,7175
2,0,1,0,0,1,1,1,8,h,5,h,3,s,8,c,A,c,4938
0,1,0,1,0,1,0,1,9,s,5,d,A,s,K,s,J,c,1222
0,1,0,2,1,1,0,2,J,s,6,h,5,s,A,h,4,c,2135
0,1,1,0,0,1,1,1,A,s,3,h,7,h,7,s,T,c,4290
0,1,1,0,1,1,1,0,J,c,8,s,3,d,3,s,A,d,4882
0,1,0,1,0,1,0,1,5,d,Q,d,5,h,8,h,J,c,4200
0,1,1,1,1,0,0,1,2,h,J,h,6,s,K,h,8,s,3473
0,1,0,1,1,1,1,0,3,s,A,s,A,d,Q,c,K,s,4884
0,1,1,1,0,1,1,1,4,c,8,h,6,c,J,d,4,s,4166
0,1,1,0,1,0,2,0,9,s,9,h,4,s,2,s,3,c,4436
0,1,1,2,0,1,3,0,Q,d,6,s,A,h,7,c,8,c,4356
0,1,2,0,0,1,1,0,4,c,8,c,J,d,T,h,8,h,5454
0,1,1,1,0,2,0,1,T,c,4,h,8,h,Q,d,J,h,2761
0,1,2,0,0,1,0,1,K,c,4,c,8,d,9,c,T,s,2760
0,1,1,1,1,0,0,2,3,h,8,c,A,s,T,d,A,d,4936
0,1,2,1,0,1,2,0,5,s,5,h,6,d,Q,d,A,s,4905
2,0,3,0,3,0,2,1,Q,d,6,d,Q,s,T,c,A,d,5719
0,1,1,0,0,1,2,1,T,d,3,d,3,c,9,d,2,d,6214
0,1,2,0,0,1,2,0,K,s,6,c,T,c,T,d,6,s,4839
0,1,0,1,0,1,0,1,6,c,8,d,2,d,5,h,4,d,610
0,1,1,1,0,1,0,1,T,h,A,c,7,d,3,h,A,h,4903
0,1,0,1,0,1,0,1,K,c,2,s,6,d,4,s,3,d,1241
0,1,1,1,0,1,0,1,7,s,2,d,2,s,K,c,9,s,4311
0,1,0,1,0,1,0,1,5,c,6,s,3,s,Q,c,7,c,2582
0,1,1,1,0,1,1,1,J,h,Q,h,5,c,4,d,K,h,3639
0,1,0,1,2,1,2,0,3,d,J,s,T,s,K,d,Q,h,5861
0,1,2,0,2,0,1,1,6,h,5,d,2,d,A,h,T,c,2787
0,1,0,1,0,1,0,1,A,c,5,h,K,d,6,s,9,h,1258
0,1,1,1,1,0,0,1,5,c,A,s,3,h,5,d,K,s,4906
0,1,0,1,0,1,0,1,Q,c,8,h,J,h,6,d,Q,h,3639
0,1,0,1,0,1,0,1,T,d,6,s,3,s,Q,s,K,h,5862
0,1,0,2,0,1,1,1,T,c,J,c,J,s,5,d,2,d,4575
0,1,0,1,0,1,0,1,J,s,6,s,Q,h,4,c,8,s,3375
0,1,2,0,1,1,0,1,4,h,9,c,7,h,T,h,3,d,2927
1,0,1,0,0,1,1,0,3,d,A,h,2,d,4,s,8,c,3659
0,1,0,2,0,1,1,1,Q,h,4,s,Q,d,5,s,A,d,4664
0,1,2,0,3,0,1,0,5,c,5,d,J,d,7,d,2,s,7203
0,1,0,1,0,1,1,0,2,h,5,c,T,c,3,s,Q,h,3592
0,1,2,0,1,0,1,0,T,s,8,h,6,h,4,d,8,c,7219
0,1,0,1,0,1,0,1,K,s,6,d,5,h,7,c,K,h,3895
1,0,1,0,1,1,1,0,2,c,9,d,K,c,8,c,2,d,4750
1,0,1,1,2,0,1,1,2,d,7,h,9,c,9,s,4,s,4714
2,0,1,0,1,0,1,0,4,h,9,c,2,d,Q,h,8,d,5682
0,1,0,1,0,1,0,1,9,c,7,h,9,d,2,h,A,d,3008
0,1,1,1,0,2,1,1,5,s,J,h,2,h,Q,c,K,s,1441
0,1,0,1,1,0,0,1,5,d,5,s,9,d,2,h,3,h,1966
0,1,1,0,0,1,0,1,T,c,J,c,J,s,6,c,J,h,5623
2,0,0,1,0,1,0,1,A,c,2,d,9,c,9,h,8,d,3036
1,0,2,0,2,0,0,1,J,d,6,d,8,c,9,c,Q,h,4080
1,0,1,0,3,0,3,0,Q,h,7,h,3,s,Q,c,4,c,4736
0,1,1,1,1,1,0,1,5,d,3,s,K,d,Q,c,8,d,1658
0,1,0,1,0,1,0,1,2,s,8,s,9,c,Q,h,7,s,2481
0,1,0,1,0,1,0,1,3,d,Q,h,2,s,K,h,J,s,1271
0,1,0,1,1,1,1,1,8,c,9,c,Q,h,9,d,6,c,3024
0,1,1,0,0,2,3,0,Q,h,7,h,K,c,4,h,8,d,3837
0,1,0,1,0,1,0,1,K,h,6,d,2,h,3,c,7,s,1642
0,1,3,0,1,0,0,1,9,d,4,s,T,h,J,h,Q,d,5501
1,0,1,0,1,0,2,0,6,c,T,d,5,c,J,d,7,d,6973
0,2,1,0,0,1,0,1,J,c,4,s,8,h,8,d,9,c,2796
1,0,2,0,1,0,1,0,5,c,8,c,3,c,K,h,9,h,6740
0,1,0,1,2,1,1,0,5,d,2,c,8,s,A,s,K,c,1492
0,1,3,0,1,0,2,1,J,h,A,d,2,s,9,h,5,s,4026
0,1,0,1,1,0,2,0,6,c,J,h,7,h,4,s,3,d,5855
0,1,0,1,0,1,0,1,3,s,A,h,5,s,Q,c,J,s,3462
0,1,0,1,1,0,0,1,K,s,T,d,A,c,2,d,8,s,3034
0,1,1,0,1,0,0,1,K,s,2,c,T,h,J,s,8,s,3906
0,1,0,1,0,1,0,1,9,h,2,s,J,c,5,d,7,c,1103
0,1,1,0,2,1,1,0,K,h,3,h,J,h,K,c,2,d,5763
0,1,0,1,0,1,0,1,K,c,T,s,5,c,2,h,2,c,4179
0,1,0,1,0,1,0,1,T,h,A,h,8,s,5,c,8,h,2816
0,1,0,2,2,1,1,1,7,s,2,d,2,h,T,h,5,s,4253
1,0,0,1,1,1,1,1,5,s,6,h,K,h,7,h,Q,c,5705
0,1,2,1,1,1,0,1,4,c,7,h,A,d,2,d,J,h,1914
0,1,1,0,0,1,1,0,K,h,8,h,2,c,A,c,9,d,1260
0,1,1,2,0,1,1,0,J,s,3,c,9,s,K,h,6,c,1715
1,0,1,0,0,1,0,1,3,s,8,h,2,c,6,d,5,c,3506
0,1,0,2,1,1,1,0,9,h,6,s,K,h,Q,c,5,s,3694
0,1,2,1,2,1,1,1,6,c,3,s,4,h,8,h,4,c,4229
0,1,0,1,0,1,1,0,8,h,K,d,2,s,Q,d,5,h,3693
0,1,1,1,1,0,0,1,8,h,K,c,3,c,K,s,J,d,4816
0,1,2,0,1,1,1,1,Q,h,J,c,7,s,9,d,2,h,3596
0,1,0,1,1,0,0,1,T,s,3,s,7,d,A,h,6,d,2357
0,1,3,0,2,1,2,0,J,c,7,d,5,s,8,c,3,s,3290
0,1,0,1,2,0,2,0,K,h,J,d,5,c,5,d,3,h,5246
0,1,0,1,1,0,0,1,3,s,A,d,K,d,T,h,7,h,3254
0,1,1,0,1,1,1,1,2,d,6,d,Q,s,K,h,Q,h,5705
0,1,2,0,0,2,1,0,4,s,9,h,6,c,4,c,J,d,4397
0,1,2,0,2,0,1,1,6,c,5,s,5,d,2,h,3,c,5211
0,1,1,0,2,0,2,0,3,h,T,c,J,h,3,c,4,s,5105
0,1,2,1,0,2,0,1,5,s,K,h,T,d,Q,s,A,s,5862
0,1,1,1,2,0,0,1,A,d,5,c,4,d,5,d,Q,c,4905
0,1,0,1,0,1,2,0,2,s,7,c,2,d,5,h,5,c,4180
1,0,2,1,0,1,3,0,2,h,Q,h,Q,d,9,d,5,d,4738
0,1,0,1,1,0,0,1,J,h,K,d,2,d,A,h,3,c,1271
0,1,0,1,0,1,0,1,2,h,K,d,6,c,T,c,J,d,662
0,1,2,0,2,0,1,1,3,s,K,h,A,d,7,h,5,c,4123
2,0,0,1,0,1,0,1,8,s,5,s,J,d,J,c,7,s,3419
0,1,1,0,2,0,1,1,7,d,9,c,A,c,5,d,3,s,2782
2,0,0,2,0,2,1,0,3,s,4,c,6,s,8,c,8,h,2749
0,1,1,1,1,1,1,0,K,d,3,s,3,d,7,h,7,s,4804
0,1,1,1,0,2,0,1,Q,c,3,h,5,c,9,s,K,s,2539
0,1,1,1,0,1,2,0,T,c,K,s,4,c,4,h,A,s,5862
0,1,2,0,1,1,1,0,5,c,5,h,A,s,6,s,7,s,4901
0,1,2,0,0,1,0,1,7,s,9,h,3,c,A,c,T,h,1909
2,0,1,0,2,0,2,0,5,h,3,s,8,s,5,c,9,s,4781
0,1,0,1,0,1,1,0,4,d,5,s,8,h,A,s,2,h,2335
0,1,0,1,1,0,2,0,7,s,6,d,7,h,A,d,5,s,4922
0,1,1,0,1,1,0,1,A,c,T,c,6,h,Q,c,5,s,4730
0,1,0,1,0,1,0,1,4,s,7,c,K,d,8,h,T,c,1189
0,2,2,0,1,0,1,0,8,d,9,s,A,h,7,d,J,d,5859
0,1,1,1,2,0,2,0,5,c,8,d,J,d,Q,d,J,c,6956
0,1,0,1,1,1,1,1,8,d,2,h,4,s,T,h,9,h,1772
1,0,0,1,1,1,2,0,5,h,Q,c,4,c,Q,s,T,h,4730
0,1,0,1,1,1,0,1,Q,h,8,s,9,h,5,c,K,d,2539
0,1,0,1,0,1,0,1,9,h,Q,d,K,c,7,c,6,h,1276
0,1,1,1,3,0,1,0,Q,c,8,s,6,c,2,d,3,d,3580
0,1,1,1,0,1,0,1,5,s,K,h,4,c,9,s,A,s,4107
0,1,1,1,1,0,2,0,T,c,K,c,8,c,7,c,8,h,7052
1,0,1,0,1,0,1,1,9,s,5,h,T,c,8,d,J,d,4036
0,1,1,1,1,2,0,2,7,s,J,h,3,c,2,c,J,s,3455
0,1,0,1,0,1,0,1,Q,h,J,s,6,h,2,h,7,h,763
2,0,3,0,2,0,0,2,4,c,9,h,5,c,6,d,7,c,3526
0,1,1,0,1,1,0,1,3,h,6,s,2,d,K,s,T,d,1641
0,1,0,2,1,1,1,1,Q,d,3,h,4,c,8,d,5,c,1813
0,1,1,0,0,1,0,1,4,s,3,c,9,h,3,s,9,s,4389
0,1,1,0,2,1,1,0,A,h,J,s,Q,c,Q,s,9,h,4675
0,1,0,1,0,1,0,1,6,c,Q,d,J,d,2,c,9,h,774
1,0,0,1,0,1,0,1,J,s,8,s,7,d,Q,s,8,d,2761
0,1,2,0,1,0,1,0,A,c,3,s,Q,s,T,d,K,s,4135
0,1,2,1,1,1,1,1,A,s,7,h,6,c,4,c,T,d,3252
0,1,1,0,1,0,1,1,2,h,6,d,3,s,6,s,J,s,4353
0,1,1,1,1,1,0,1,4,s,Q,h,K,h,2,c,Q,s,4663
0,1,0,1,0,1,0,1,2,c,6,h,2,d,K,c,7,c,1417
0,1,0,1,0,1,0,1,4,d,K,c,5,c,T,c,J,d,661
0,1,1,0,0,1,0,1,6,s,8,s,Q,c,8,d,A,d,4345
0,1,0,2,0,1,0,1,T,d,4,d,5,c,A,c,Q,s,1925
0,1,2,0,1,0,2,0,7,h,8,c,9,s,7,s,K,d,7217
0,1,2,0,1,1,1,0,A,h,6,s,9,c,4,c,A,c,4913
0,1,0,1,0,1,0,1,8,c,J,d,2,s,8,s,2,d,4309
0,1,1,1,1,1,1,0,9,d,9,c,5,d,Q,s,8,c,3036
0,1,0,2,0,1,2,0,J,c,6,s,T,h,5,s,7,d,4507
0,2,1,0,1,1,1,1,3,d,T,s,7,s,5,d,T,c,4516
0,1,3,0,1,1,1,1,Q,h,3,d,6,d,3,h,5,c,4224
0,1,0,1,0,1,0,1,8,d,4,h,3,s,6,d,9,s,184
0,1,0,1,0,1,1,1,7,s,2,d,8,c,9,s,J,s,3312
0,1,1,0,0,1,0,1,5,h,5,s,3,h,8,h,K,s,4344
0,1,1,1,1,0,1,0,T,d,9,h,A,d,8,c,2,d,4000
0,1,1,0,0,1,1,0,9,d,A,c,8,d,4,s,4,d,4894
0,1,0,1,0,2,0,2,9,c,9,h,5,d,T,h,3,d,4409
0,1,1,2,1,1,1,0,5,h,5,s,7,c,5,d,6,c,5243
0,2,1,0,2,0,0,1,6,s,J,d,Q,h,8,c,5,d,3419
0,1,0,1,0,1,0,1,3,c,J,h,K,h,K,d,5,h,4785
0,1,1,1,3,0,1,0,A,h,5,c,3,s,9,h,7,c,4924
0,1,0,1,1,1,1,0,2,c,3,c,T,s,2,s,A,c,5853
0,1,1,1,0,1,0,1,T,c,Q,s,K,s,2,c,9,h,1268
0,1,0,1,2,0,1,0,8,s,4,c,3,h,T,h,7,d,4472
0,1,1,1,0,1,0,1,2,s,3,h,2,c,8,h,9,d,1462
0,1,1,1,3,0,2,1,4,h,Q,d,3,s,K,h,9,d,1879
0,1,1,0,0,1,1,0,7,d,4,d,6,c,T,h,J,d,6267
0,1,2,0,3,0,0,1,5,h,2,s,A,s,T,h,6,s,3982
0,1,1,1,1,1,0,1,4,s,7,s,A,h,T,s,3,s,1934
0,1,1,1,1,1,0,2,2,h,9,c,5,h,T,s,A,d,2129
0,1,1,0,0,1,0,1,J,s,5,s,5,h,J,c,6,d,4576
0,1,0,1,0,1,0,1,T,h,2,s,4,d,K,c,J,d,780
0,1,0,1,0,1,0,1,Q,d,6,h,4,h,9,d,3,h,1037
0,1,0,1,0,1,0,1,K,s,K,d,K,c,T,d,Q,c,5774
0,1,1,0,1,0,1,0,Q,s,2,c,K,d,J,s,5,s,4850
0,1,1,1,0,2,1,2,6,s,4,s,T,h,J,d,Q,c,3155
0,1,2,0,0,1,0,1,4,s,4,d,A,c,J,c,5,s,4169
0,1,0,1,1,1,2,0,T,d,5,d,6,s,K,d,7,h,3767
0,1,1,0,0,2,0,1,4,c,4,s,8,h,Q,c,7,c,4332
0,1,1,0,1,1,1,0,6,s,K,h,8,d,8,h,9,h,7230
0,1,2,0,2,0,1,0,8,s,3,d,3,c,2,h,4,s,5074
1,0,0,1,0,1,0,1,3,s,5,c,6,c,3,d,4,c,1656
0,1,1,0,1,1,2,1,7,h,K,s,Q,s,K,c,J,c,4861
0,1,0,1,0,1,0,1,6,d,T,h,A,s,T,d,7,c,3244
0,1,1,1,0,1,0,1,8,d,T,d,Q,d,A,s,2,c,3245
0,1,0,1,0,1,1,0,8,s,9,s,T,d,8,d,7,c,5858
0,1,1,0,3,0,1,0,J,s,7,h,9,d,J,h,7,d,4615
0,1,0,1,0,1,0,1,5,d,A,s,8,h,A,c,K,h,4895
0,1,2,0,1,1,2,0,2,c,9,h,Q,h,9,s,A,c,4719
0,1,1,0,0,1,0,1,8,h,2,c,3,d,5,h,3,h,4163
0,1,1,1,0,1,0,1,2,d,3,h,4,s,J,h,7,s,390
0,1,1,1,1,1,0,1,Q,c,T,h,T,s,8,c,6,d,3244
0,1,1,0,0,1,1,0,7,h,7,s,2,h,T,h,A,d,4510
0,1,0,1,3,0,1,0,8,d,5,c,4,d,4,s,9,c,5147
0,1,0,1,0,1,0,1,K,c,2,h,2,d,4,s,9,s,4399
0,1,1,1,0,2,1,0,4,c,2,s,7,c,4,h,Q,s,4689
0,1,0,1,0,1,0,1,9,h,K,h,8,c,3,s,T,h,3192
0,1,1,0,3,0,1,0,K,c,Q,c,Q,h,A,d,7,s,5862
0,1,0,1,0,1,0,1,3,s,9,d,6,c,A,s,K,s,1194
0,1,3,0,0,1,0,1,5,s,5,h,2,s,9,h,A,s,4180
1,0,0,1,1,0,1,0,9,c,7,c,A,d,J,c,9,h,4719
0,1,1,1,0,1,0,1,4,c,6,h,K,d,8,h,2,d,768
0,1,0,1,0,1,0,1,5,c,J,d,5,h,9,c,J,c,4574
